source	target	edge_score	max_head_layer_score	top_head_layers
RP5-849H19.3	RAC1P5	0.0567420944571495	0.61572265625	"[{""layer"": 0, ""head"": 6, ""score"": 0.61572265625}, {""layer"": 4, ""head"": 1, ""score"": 0.51953125}, {""layer"": 2, ""head"": 0, ""score"": 0.311279296875}, {""layer"": 2, ""head"": 7, ""score"": 0.31005859375}, {""layer"": 1, ""head"": 4, ""score"": 0.286376953125}]"
ZNF887P	H2AZP3	0.0557705275714397	0.95458984375	"[{""layer"": 0, ""head"": 3, ""score"": 0.95458984375}, {""layer"": 0, ""head"": 5, ""score"": 0.441162109375}, {""layer"": 10, ""head"": 5, ""score"": 0.39599609375}, {""layer"": 9, ""head"": 1, ""score"": 0.336669921875}, {""layer"": 1, ""head"": 6, ""score"": 0.279296875}]"
COL1A1	H2AZP3	0.0531580559909343	0.95361328125	"[{""layer"": 0, ""head"": 3, ""score"": 0.95361328125}, {""layer"": 0, ""head"": 5, ""score"": 0.61279296875}, {""layer"": 10, ""head"": 0, ""score"": 0.5087890625}, {""layer"": 0, ""head"": 1, ""score"": 0.375244140625}, {""layer"": 10, ""head"": 5, ""score"": 0.29736328125}]"
HMGB3P24	MTHFD1P1	0.0428813472390174	0.289306640625	"[{""layer"": 1, ""head"": 6, ""score"": 0.289306640625}, {""layer"": 1, ""head"": 4, ""score"": 0.251220703125}, {""layer"": 1, ""head"": 3, ""score"": 0.24853515625}, {""layer"": 4, ""head"": 1, ""score"": 0.2379150390625}, {""layer"": 1, ""head"": 1, ""score"": 0.2099609375}]"
DBNDD2	KRT18P28	0.0427127107977867	0.71484375	"[{""layer"": 0, ""head"": 1, ""score"": 0.71484375}, {""layer"": 2, ""head"": 0, ""score"": 0.4072265625}, {""layer"": 1, ""head"": 3, ""score"": 0.271728515625}, {""layer"": 1, ""head"": 4, ""score"": 0.261962890625}, {""layer"": 1, ""head"": 5, ""score"": 0.221923828125}]"
S100A6	KRT18P28	0.0418248027563095	0.66845703125	"[{""layer"": 0, ""head"": 1, ""score"": 0.66845703125}, {""layer"": 1, ""head"": 5, ""score"": 0.375732421875}, {""layer"": 2, ""head"": 0, ""score"": 0.287353515625}, {""layer"": 1, ""head"": 3, ""score"": 0.21044921875}, {""layer"": 4, ""head"": 5, ""score"": 0.11956787109375}]"
RP11-669I1.2	RAC1P5	0.03902293369174	0.69580078125	"[{""layer"": 0, ""head"": 5, ""score"": 0.69580078125}, {""layer"": 1, ""head"": 6, ""score"": 0.5615234375}, {""layer"": 0, ""head"": 3, ""score"": 0.363525390625}, {""layer"": 1, ""head"": 4, ""score"": 0.309814453125}, {""layer"": 1, ""head"": 5, ""score"": 0.1922607421875}]"
KRT18P28	RP11-166N17.1	0.0384577810764312	0.4560546875	"[{""layer"": 0, ""head"": 3, ""score"": 0.4560546875}, {""layer"": 1, ""head"": 6, ""score"": 0.4052734375}, {""layer"": 3, ""head"": 7, ""score"": 0.284423828125}, {""layer"": 2, ""head"": 6, ""score"": 0.260498046875}, {""layer"": 1, ""head"": 4, ""score"": 0.2022705078125}]"
PTH1R	CHMP5P1	0.0377185679972171	0.953125	"[{""layer"": 0, ""head"": 3, ""score"": 0.953125}, {""layer"": 1, ""head"": 5, ""score"": 0.5517578125}, {""layer"": 0, ""head"": 5, ""score"": 0.467041015625}, {""layer"": 1, ""head"": 3, ""score"": 0.232177734375}, {""layer"": 2, ""head"": 0, ""score"": 0.164306640625}]"
RP11-680G24.4	MTND6P3	0.037489041686058	0.88671875	"[{""layer"": 1, ""head"": 4, ""score"": 0.88671875}, {""layer"": 10, ""head"": 5, ""score"": 0.21044921875}, {""layer"": 4, ""head"": 1, ""score"": 0.1490478515625}, {""layer"": 1, ""head"": 1, ""score"": 0.139404296875}, {""layer"": 4, ""head"": 6, ""score"": 0.1328125}]"
RP11-166N17.1	KRT18P28	0.0367911159992218	0.292724609375	"[{""layer"": 10, ""head"": 0, ""score"": 0.292724609375}, {""layer"": 9, ""head"": 1, ""score"": 0.25439453125}, {""layer"": 1, ""head"": 5, ""score"": 0.1771240234375}, {""layer"": 1, ""head"": 1, ""score"": 0.17138671875}, {""layer"": 0, ""head"": 5, ""score"": 0.1630859375}]"
NPR3	CHMP5P1	0.0356744565069675	0.93115234375	"[{""layer"": 0, ""head"": 3, ""score"": 0.93115234375}, {""layer"": 1, ""head"": 6, ""score"": 0.422119140625}, {""layer"": 1, ""head"": 5, ""score"": 0.34912109375}, {""layer"": 1, ""head"": 3, ""score"": 0.306884765625}, {""layer"": 2, ""head"": 7, ""score"": 0.16259765625}]"
UCHL1	KRT18P28	0.0356041938066482	0.34033203125	"[{""layer"": 1, ""head"": 5, ""score"": 0.34033203125}, {""layer"": 0, ""head"": 1, ""score"": 0.337158203125}, {""layer"": 1, ""head"": 3, ""score"": 0.2919921875}, {""layer"": 10, ""head"": 0, ""score"": 0.138671875}, {""layer"": 2, ""head"": 0, ""score"": 0.1298828125}]"
DUSP23	RP11-166N17.1	0.0354465804994106	0.8876953125	"[{""layer"": 0, ""head"": 3, ""score"": 0.8876953125}, {""layer"": 0, ""head"": 5, ""score"": 0.127685546875}, {""layer"": 1, ""head"": 3, ""score"": 0.11138916015625}, {""layer"": 2, ""head"": 0, ""score"": 0.10906982421875}, {""layer"": 2, ""head"": 7, ""score"": 0.09613037109375}]"
UCHL1	RP11-166N17.1	0.0351570025086402	0.98779296875	"[{""layer"": 0, ""head"": 3, ""score"": 0.98779296875}, {""layer"": 0, ""head"": 5, ""score"": 0.19091796875}, {""layer"": 2, ""head"": 2, ""score"": 0.131103515625}, {""layer"": 1, ""head"": 5, ""score"": 0.123291015625}, {""layer"": 9, ""head"": 1, ""score"": 0.09991455078125}]"
DBNDD2	RP11-166N17.1	0.0334885083138942	0.927734375	"[{""layer"": 0, ""head"": 3, ""score"": 0.927734375}, {""layer"": 1, ""head"": 6, ""score"": 0.14306640625}, {""layer"": 1, ""head"": 5, ""score"": 0.1400146484375}, {""layer"": 0, ""head"": 5, ""score"": 0.1065673828125}, {""layer"": 1, ""head"": 4, ""score"": 0.0992431640625}]"
MCOLN2	RPL19P18	0.0334203019738197	0.463623046875	"[{""layer"": 10, ""head"": 5, ""score"": 0.463623046875}, {""layer"": 0, ""head"": 5, ""score"": 0.38818359375}, {""layer"": 6, ""head"": 1, ""score"": 0.1353759765625}, {""layer"": 1, ""head"": 3, ""score"": 0.1322021484375}, {""layer"": 0, ""head"": 3, ""score"": 0.1314697265625}]"
RP11-240G22.5	RPL19P18	0.0333902761340141	0.40478515625	"[{""layer"": 10, ""head"": 5, ""score"": 0.40478515625}, {""layer"": 0, ""head"": 5, ""score"": 0.39501953125}, {""layer"": 10, ""head"": 7, ""score"": 0.259765625}, {""layer"": 0, ""head"": 1, ""score"": 0.18505859375}, {""layer"": 1, ""head"": 1, ""score"": 0.159423828125}]"
AC019129.1	RAC1P5	0.0333725661039352	0.415283203125	"[{""layer"": 0, ""head"": 6, ""score"": 0.415283203125}, {""layer"": 10, ""head"": 4, ""score"": 0.247802734375}, {""layer"": 4, ""head"": 1, ""score"": 0.2076416015625}, {""layer"": 10, ""head"": 7, ""score"": 0.188720703125}, {""layer"": 1, ""head"": 4, ""score"": 0.162353515625}]"
RP11-435F13.2	RPS2P35	0.0331496521830558	0.59033203125	"[{""layer"": 1, ""head"": 4, ""score"": 0.59033203125}, {""layer"": 0, ""head"": 6, ""score"": 0.309326171875}, {""layer"": 4, ""head"": 1, ""score"": 0.256591796875}, {""layer"": 3, ""head"": 7, ""score"": 0.236083984375}, {""layer"": 10, ""head"": 7, ""score"": 0.170166015625}]"
RP11-316M21.6	SF3A3P1	0.0326869376003742	0.2958984375	"[{""layer"": 1, ""head"": 3, ""score"": 0.2958984375}, {""layer"": 2, ""head"": 7, ""score"": 0.289306640625}, {""layer"": 2, ""head"": 0, ""score"": 0.24951171875}, {""layer"": 0, ""head"": 5, ""score"": 0.241455078125}, {""layer"": 1, ""head"": 4, ""score"": 0.1829833984375}]"
WDR72	CHMP5P1	0.0322649255394935	0.74365234375	"[{""layer"": 0, ""head"": 3, ""score"": 0.74365234375}, {""layer"": 1, ""head"": 5, ""score"": 0.435302734375}, {""layer"": 0, ""head"": 5, ""score"": 0.316650390625}, {""layer"": 2, ""head"": 7, ""score"": 0.1224365234375}, {""layer"": 1, ""head"": 3, ""score"": 0.119140625}]"
TRBV7-4	RBBP4P2	0.0322337299585342	0.98486328125	"[{""layer"": 0, ""head"": 3, ""score"": 0.98486328125}, {""layer"": 1, ""head"": 4, ""score"": 0.392333984375}, {""layer"": 1, ""head"": 6, ""score"": 0.373779296875}, {""layer"": 0, ""head"": 5, ""score"": 0.12261962890625}, {""layer"": 1, ""head"": 3, ""score"": 0.12200927734375}]"
ATP6V1FNB	MTND6P3	0.0322034284472465	0.494140625	"[{""layer"": 1, ""head"": 5, ""score"": 0.494140625}, {""layer"": 0, ""head"": 5, ""score"": 0.29052734375}, {""layer"": 1, ""head"": 3, ""score"": 0.2890625}, {""layer"": 1, ""head"": 4, ""score"": 0.1676025390625}, {""layer"": 2, ""head"": 0, ""score"": 0.16455078125}]"
MT1H	MTND6P3	0.0321989506483078	0.41357421875	"[{""layer"": 1, ""head"": 3, ""score"": 0.41357421875}, {""layer"": 0, ""head"": 5, ""score"": 0.264892578125}, {""layer"": 1, ""head"": 5, ""score"": 0.25341796875}, {""layer"": 2, ""head"": 0, ""score"": 0.246337890625}, {""layer"": 10, ""head"": 5, ""score"": 0.1947021484375}]"
ANKRD19P	RAC1P5	0.0321525149047374	0.71533203125	"[{""layer"": 0, ""head"": 5, ""score"": 0.71533203125}, {""layer"": 0, ""head"": 6, ""score"": 0.61328125}, {""layer"": 6, ""head"": 7, ""score"": 0.191650390625}, {""layer"": 10, ""head"": 5, ""score"": 0.15283203125}, {""layer"": 1, ""head"": 4, ""score"": 0.1307373046875}]"
SCGB2A1	ELOCP27	0.0319366343319416	0.51416015625	"[{""layer"": 0, ""head"": 5, ""score"": 0.51416015625}, {""layer"": 1, ""head"": 5, ""score"": 0.2322998046875}, {""layer"": 7, ""head"": 4, ""score"": 0.2308349609375}, {""layer"": 1, ""head"": 6, ""score"": 0.17626953125}, {""layer"": 1, ""head"": 4, ""score"": 0.1448974609375}]"
CASP4LP	RPL19P18	0.0318949185311794	0.39453125	"[{""layer"": 10, ""head"": 5, ""score"": 0.39453125}, {""layer"": 0, ""head"": 2, ""score"": 0.2430419921875}, {""layer"": 0, ""head"": 5, ""score"": 0.1982421875}, {""layer"": 0, ""head"": 3, ""score"": 0.197998046875}, {""layer"": 1, ""head"": 3, ""score"": 0.11920166015625}]"
TRBV7-4	RPS2P35	0.0315070077776908	0.603515625	"[{""layer"": 1, ""head"": 4, ""score"": 0.603515625}, {""layer"": 0, ""head"": 5, ""score"": 0.5908203125}, {""layer"": 1, ""head"": 6, ""score"": 0.537109375}, {""layer"": 1, ""head"": 5, ""score"": 0.1141357421875}, {""layer"": 1, ""head"": 3, ""score"": 0.11114501953125}]"
AC019129.1	AC104297.1	0.0314912609755992	0.361572265625	"[{""layer"": 1, ""head"": 4, ""score"": 0.361572265625}, {""layer"": 4, ""head"": 1, ""score"": 0.34130859375}, {""layer"": 10, ""head"": 4, ""score"": 0.270263671875}, {""layer"": 10, ""head"": 7, ""score"": 0.165283203125}, {""layer"": 3, ""head"": 7, ""score"": 0.14013671875}]"
ELOCP27	COX6CP1	0.0314538925886154	0.302490234375	"[{""layer"": 0, ""head"": 4, ""score"": 0.302490234375}, {""layer"": 0, ""head"": 6, ""score"": 0.29833984375}, {""layer"": 1, ""head"": 4, ""score"": 0.28271484375}, {""layer"": 3, ""head"": 7, ""score"": 0.1646728515625}, {""layer"": 4, ""head"": 1, ""score"": 0.1539306640625}]"
Y_RNA_ENSG00000239040	RPL19P18	0.031227758154273	0.43701171875	"[{""layer"": 0, ""head"": 5, ""score"": 0.43701171875}, {""layer"": 10, ""head"": 5, ""score"": 0.304931640625}, {""layer"": 10, ""head"": 7, ""score"": 0.1865234375}, {""layer"": 0, ""head"": 1, ""score"": 0.1617431640625}, {""layer"": 9, ""head"": 7, ""score"": 0.112548828125}]"
FABP1	CHMP5P1	0.0310080926865339	0.73779296875	"[{""layer"": 0, ""head"": 3, ""score"": 0.73779296875}, {""layer"": 1, ""head"": 5, ""score"": 0.27978515625}, {""layer"": 1, ""head"": 6, ""score"": 0.21630859375}, {""layer"": 2, ""head"": 0, ""score"": 0.126953125}, {""layer"": 1, ""head"": 3, ""score"": 0.1197509765625}]"
PYHIN1	RPL19P18	0.0309062805026769	0.3408203125	"[{""layer"": 10, ""head"": 5, ""score"": 0.3408203125}, {""layer"": 0, ""head"": 3, ""score"": 0.314208984375}, {""layer"": 1, ""head"": 6, ""score"": 0.22314453125}, {""layer"": 0, ""head"": 1, ""score"": 0.1573486328125}, {""layer"": 1, ""head"": 1, ""score"": 0.1488037109375}]"
NLRC3	RPL19P18	0.0308173540979623	0.36669921875	"[{""layer"": 0, ""head"": 5, ""score"": 0.36669921875}, {""layer"": 1, ""head"": 1, ""score"": 0.300048828125}, {""layer"": 10, ""head"": 5, ""score"": 0.2880859375}, {""layer"": 1, ""head"": 3, ""score"": 0.14990234375}, {""layer"": 0, ""head"": 1, ""score"": 0.1273193359375}]"
UGT2A3	RPS2P35	0.0308046955615282	0.8447265625	"[{""layer"": 0, ""head"": 5, ""score"": 0.8447265625}, {""layer"": 1, ""head"": 6, ""score"": 0.498779296875}, {""layer"": 1, ""head"": 5, ""score"": 0.1868896484375}, {""layer"": 1, ""head"": 3, ""score"": 0.144775390625}, {""layer"": 2, ""head"": 2, ""score"": 0.1329345703125}]"
RIMKLBP1	RAC1P5	0.0307987462729215	0.303466796875	"[{""layer"": 0, ""head"": 6, ""score"": 0.303466796875}, {""layer"": 10, ""head"": 4, ""score"": 0.273681640625}, {""layer"": 10, ""head"": 5, ""score"": 0.1766357421875}, {""layer"": 4, ""head"": 1, ""score"": 0.176513671875}, {""layer"": 1, ""head"": 4, ""score"": 0.1463623046875}]"
LRP2	CHMP5P1	0.0307815428823232	0.6142578125	"[{""layer"": 0, ""head"": 3, ""score"": 0.6142578125}, {""layer"": 1, ""head"": 5, ""score"": 0.53857421875}, {""layer"": 1, ""head"": 3, ""score"": 0.193115234375}, {""layer"": 1, ""head"": 6, ""score"": 0.120849609375}, {""layer"": 2, ""head"": 7, ""score"": 0.1134033203125}]"
GNRHR	FAF1-AS1	0.0307569336146116	0.5791015625	"[{""layer"": 0, ""head"": 1, ""score"": 0.5791015625}, {""layer"": 0, ""head"": 3, ""score"": 0.325927734375}, {""layer"": 0, ""head"": 5, ""score"": 0.1986083984375}, {""layer"": 9, ""head"": 1, ""score"": 0.143798828125}, {""layer"": 1, ""head"": 2, ""score"": 0.141845703125}]"
DENND4A	RBBP4P2	0.0307058654725551	0.97607421875	"[{""layer"": 0, ""head"": 3, ""score"": 0.97607421875}, {""layer"": 0, ""head"": 7, ""score"": 0.81640625}, {""layer"": 0, ""head"": 2, ""score"": 0.712890625}, {""layer"": 0, ""head"": 5, ""score"": 0.055328369140625}, {""layer"": 1, ""head"": 4, ""score"": 0.0211639404296875}]"
UBE2SP1	TDGP1	0.0306525323539972	0.619140625	"[{""layer"": 1, ""head"": 4, ""score"": 0.619140625}, {""layer"": 1, ""head"": 6, ""score"": 0.286376953125}, {""layer"": 0, ""head"": 6, ""score"": 0.2568359375}, {""layer"": 3, ""head"": 7, ""score"": 0.2261962890625}, {""layer"": 2, ""head"": 0, ""score"": 0.1329345703125}]"
AC011933.2	RBBP4P2	0.0306067485362291	0.97509765625	"[{""layer"": 0, ""head"": 3, ""score"": 0.97509765625}, {""layer"": 1, ""head"": 6, ""score"": 0.238525390625}, {""layer"": 1, ""head"": 4, ""score"": 0.17822265625}, {""layer"": 1, ""head"": 3, ""score"": 0.1700439453125}, {""layer"": 1, ""head"": 5, ""score"": 0.09661865234375}]"
ZCCHC12	RBBP4P2	0.0304441563785076	0.9814453125	"[{""layer"": 0, ""head"": 3, ""score"": 0.9814453125}, {""layer"": 0, ""head"": 5, ""score"": 0.40966796875}, {""layer"": 1, ""head"": 3, ""score"": 0.308837890625}, {""layer"": 1, ""head"": 6, ""score"": 0.1553955078125}, {""layer"": 0, ""head"": 2, ""score"": 0.11920166015625}]"
PTH1R	MTND6P3	0.0304249320179224	0.6806640625	"[{""layer"": 0, ""head"": 5, ""score"": 0.6806640625}, {""layer"": 1, ""head"": 5, ""score"": 0.426513671875}, {""layer"": 1, ""head"": 3, ""score"": 0.269775390625}, {""layer"": 10, ""head"": 5, ""score"": 0.16552734375}, {""layer"": 2, ""head"": 0, ""score"": 0.1329345703125}]"
RP1-20B11.2	H2AZP2	0.0303685441613197	0.54345703125	"[{""layer"": 0, ""head"": 5, ""score"": 0.54345703125}, {""layer"": 0, ""head"": 0, ""score"": 0.2919921875}, {""layer"": 2, ""head"": 7, ""score"": 0.1597900390625}, {""layer"": 1, ""head"": 4, ""score"": 0.1148681640625}, {""layer"": 0, ""head"": 6, ""score"": 0.112548828125}]"
MIR7845	RPL18P13	0.0301161203533411	0.88232421875	"[{""layer"": 0, ""head"": 4, ""score"": 0.88232421875}, {""layer"": 1, ""head"": 4, ""score"": 0.5185546875}, {""layer"": 2, ""head"": 0, ""score"": 0.1580810546875}, {""layer"": 3, ""head"": 7, ""score"": 0.08642578125}, {""layer"": 4, ""head"": 1, ""score"": 0.07958984375}]"
IGKV3-20	RBBP4P2	0.0301156900823116	0.9609375	"[{""layer"": 0, ""head"": 3, ""score"": 0.9609375}, {""layer"": 0, ""head"": 2, ""score"": 0.73486328125}, {""layer"": 0, ""head"": 7, ""score"": 0.67626953125}, {""layer"": 10, ""head"": 6, ""score"": 0.0435791015625}, {""layer"": 1, ""head"": 6, ""score"": 0.0258026123046875}]"
LINC01480	RBBP4P2	0.0299507807940244	0.94384765625	"[{""layer"": 0, ""head"": 3, ""score"": 0.94384765625}, {""layer"": 0, ""head"": 7, ""score"": 0.447509765625}, {""layer"": 1, ""head"": 6, ""score"": 0.31640625}, {""layer"": 0, ""head"": 2, ""score"": 0.1708984375}, {""layer"": 0, ""head"": 5, ""score"": 0.1287841796875}]"
LINC02312	RPL19P18	0.0299438163638114	0.28662109375	"[{""layer"": 10, ""head"": 5, ""score"": 0.28662109375}, {""layer"": 0, ""head"": 3, ""score"": 0.2401123046875}, {""layer"": 1, ""head"": 5, ""score"": 0.213623046875}, {""layer"": 0, ""head"": 5, ""score"": 0.1810302734375}, {""layer"": 1, ""head"": 1, ""score"": 0.154541015625}]"
RAC1P5	AC019129.1	0.0296542197465896	0.55224609375	"[{""layer"": 1, ""head"": 4, ""score"": 0.55224609375}, {""layer"": 10, ""head"": 5, ""score"": 0.2054443359375}, {""layer"": 10, ""head"": 4, ""score"": 0.184326171875}, {""layer"": 7, ""head"": 4, ""score"": 0.1580810546875}, {""layer"": 3, ""head"": 7, ""score"": 0.1485595703125}]"
MIR186	RBBP4P2	0.0296037998050451	0.9375	"[{""layer"": 0, ""head"": 3, ""score"": 0.9375}, {""layer"": 0, ""head"": 7, ""score"": 0.93408203125}, {""layer"": 0, ""head"": 2, ""score"": 0.2861328125}, {""layer"": 1, ""head"": 6, ""score"": 0.067626953125}, {""layer"": 8, ""head"": 4, ""score"": 0.048583984375}]"
RIMKLBP1	AC104297.1	0.029594600200653	0.302734375	"[{""layer"": 10, ""head"": 4, ""score"": 0.302734375}, {""layer"": 4, ""head"": 1, ""score"": 0.295166015625}, {""layer"": 1, ""head"": 4, ""score"": 0.2164306640625}, {""layer"": 3, ""head"": 7, ""score"": 0.175537109375}, {""layer"": 0, ""head"": 6, ""score"": 0.1708984375}]"
ALB	RP11-166N17.1	0.0295200869441032	0.859375	"[{""layer"": 0, ""head"": 3, ""score"": 0.859375}, {""layer"": 1, ""head"": 3, ""score"": 0.1451416015625}, {""layer"": 0, ""head"": 1, ""score"": 0.143310546875}, {""layer"": 0, ""head"": 5, ""score"": 0.10809326171875}, {""layer"": 1, ""head"": 6, ""score"": 0.09991455078125}]"
IGKC	RBBP4P2	0.0292670223861932	0.95703125	"[{""layer"": 0, ""head"": 3, ""score"": 0.95703125}, {""layer"": 0, ""head"": 2, ""score"": 0.84619140625}, {""layer"": 0, ""head"": 7, ""score"": 0.5244140625}, {""layer"": 1, ""head"": 3, ""score"": 0.02752685546875}, {""layer"": 1, ""head"": 5, ""score"": 0.025482177734375}]"
