dataset,atlas_metric,evidence_set,mean_type,pearson,spearman,evidence_nonzero_heads,atlas_zero_fraction_mean
immune,scores,top_2k,mean_all,-0.37854415764107985,-0.37145957677699404,96,0.9640689071011493
immune,scores,top_2k,mean_nonzero,0.6957873574130511,-0.26483993488876834,96,0.9640689071011493
immune,scores,top_10k,mean_all,-0.28941626648304886,-0.26451688616208313,80,0.9640689071011493
immune,scores,top_10k,mean_nonzero,0.5498227474301762,-0.16099518958913164,80,0.9640689071011493
kidney,scores,top_2k,mean_all,0.20778897610586058,0.10252306022788932,96,0.7533016686130277
kidney,scores,top_2k,mean_nonzero,0.6892785737080731,0.1066603364080304,96,0.7533016686130277
kidney,scores,top_10k,mean_all,0.3202126218755557,0.04163868147833368,80,0.7533016686130277
kidney,scores,top_10k,mean_nonzero,0.5107340164381381,0.04553103738707806,80,0.7533016686130277
lung,scores,top_2k,mean_all,-0.33082471269238073,0.11319858925664678,96,0.6253488858122797
lung,scores,top_2k,mean_nonzero,0.6729222313941436,0.23147042864894196,96,0.6253488858122797
lung,scores,top_10k,mean_all,-0.276461725861872,0.01975438671867996,80,0.6253488858122797
lung,scores,top_10k,mean_nonzero,0.44550092741572894,0.13862094793187374,80,0.6253488858122797
external_krasnow_lung,scores,top_2k,mean_all,-0.24660646939347816,0.07532555615843733,96,0.9232562181123912
external_krasnow_lung,scores,top_2k,mean_nonzero,0.6991946179918153,0.19645957677699405,96,0.9232562181123912
external_krasnow_lung,scores,top_10k,mean_all,-0.3265114702340147,0.014705211746147914,80,0.9232562181123912
external_krasnow_lung,scores,top_10k,mean_nonzero,0.5672233193096454,0.13750495777621977,80,0.9232562181123912
