source	target	edge_score	max_head_layer_score	top_head_layers
TEAD1	INS	0.0068772798404097	0.2259521484375	"[{""layer"": 10, ""head"": 0, ""score"": 0.2259521484375}, {""layer"": 2, ""head"": 0, ""score"": 0.033233642578125}, {""layer"": 1, ""head"": 6, ""score"": 0.0174713134765625}, {""layer"": 1, ""head"": 4, ""score"": 0.0140380859375}, {""layer"": 9, ""head"": 1, ""score"": 0.01303863525390625}]"
PAX5	KIR2DL3	0.0067864581942558	0.0740966796875	"[{""layer"": 1, ""head"": 4, ""score"": 0.0740966796875}, {""layer"": 0, ""head"": 4, ""score"": 0.043212890625}, {""layer"": 9, ""head"": 1, ""score"": 0.03155517578125}, {""layer"": 2, ""head"": 0, ""score"": 0.0305328369140625}, {""layer"": 2, ""head"": 6, ""score"": 0.02899169921875}]"
KLF2	ADORA2A	0.0067369136959314	0.0273590087890625	"[{""layer"": 1, ""head"": 3, ""score"": 0.0273590087890625}, {""layer"": 2, ""head"": 0, ""score"": 0.023956298828125}, {""layer"": 8, ""head"": 7, ""score"": 0.0183563232421875}, {""layer"": 4, ""head"": 1, ""score"": 0.016510009765625}, {""layer"": 0, ""head"": 4, ""score"": 0.0159454345703125}]"
MAFA	CXCR1	0.0064421975985169	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
KLF6	MBL2	0.0063907639123499	0.0643310546875	"[{""layer"": 2, ""head"": 2, ""score"": 0.0643310546875}, {""layer"": 0, ""head"": 5, ""score"": 0.044219970703125}, {""layer"": 4, ""head"": 5, ""score"": 0.039459228515625}, {""layer"": 5, ""head"": 6, ""score"": 0.036102294921875}, {""layer"": 4, ""head"": 0, ""score"": 0.0318603515625}]"
GFI1	UMOD	0.0063187913037836	0.049957275390625	"[{""layer"": 2, ""head"": 5, ""score"": 0.049957275390625}, {""layer"": 2, ""head"": 0, ""score"": 0.036895751953125}, {""layer"": 7, ""head"": 1, ""score"": 0.0285186767578125}, {""layer"": 11, ""head"": 1, ""score"": 0.025665283203125}, {""layer"": 2, ""head"": 4, ""score"": 0.0212860107421875}]"
SOX11	MAFA	0.0061765536665916	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
FOXI1	CYP2C8	0.0060427845455706	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
IRF4	MBL2	0.0059851636178791	0.026702880859375	"[{""layer"": 7, ""head"": 1, ""score"": 0.026702880859375}, {""layer"": 0, ""head"": 2, ""score"": 0.026336669921875}, {""layer"": 2, ""head"": 6, ""score"": 0.024383544921875}, {""layer"": 2, ""head"": 2, ""score"": 0.0243377685546875}, {""layer"": 0, ""head"": 3, ""score"": 0.0179443359375}]"
RUNX2	CXCR1	0.0057339295744895	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
PAX5	CYP2A6	0.0057028434239327	0.052642822265625	"[{""layer"": 10, ""head"": 5, ""score"": 0.052642822265625}, {""layer"": 1, ""head"": 1, ""score"": 0.042083740234375}, {""layer"": 11, ""head"": 1, ""score"": 0.0263519287109375}, {""layer"": 1, ""head"": 0, ""score"": 0.025238037109375}, {""layer"": 2, ""head"": 5, ""score"": 0.024810791015625}]"
TSC22D3	MBL2	0.005695724238952	0.07080078125	"[{""layer"": 4, ""head"": 5, ""score"": 0.07080078125}, {""layer"": 2, ""head"": 2, ""score"": 0.0689697265625}, {""layer"": 5, ""head"": 6, ""score"": 0.06512451171875}, {""layer"": 4, ""head"": 0, ""score"": 0.050262451171875}, {""layer"": 5, ""head"": 5, ""score"": 0.037261962890625}]"
FLI1	CXCR1	0.0055955866208443	0.15462239583333334	"[{""layer"": 0, ""head"": 3, ""score"": 0.15462239583333334}, {""layer"": 1, ""head"": 4, ""score"": 0.07328287760416667}, {""layer"": 0, ""head"": 7, ""score"": 0.0250244140625}, {""layer"": 11, ""head"": 5, ""score"": 0.011667887369791666}, {""layer"": 0, ""head"": 5, ""score"": 0.010640462239583334}]"
GFI1	CXCR1	0.0055943843908607	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
IRF8	CXCR1	0.0055304896086454	0.265625	"[{""layer"": 0, ""head"": 3, ""score"": 0.265625}, {""layer"": 1, ""head"": 4, ""score"": 0.0716552734375}, {""layer"": 11, ""head"": 7, ""score"": 0.015838623046875}, {""layer"": 0, ""head"": 7, ""score"": 0.01317596435546875}, {""layer"": 1, ""head"": 6, ""score"": 0.01068878173828125}]"
BIN1	INS	0.0054003181867301	0.1041259765625	"[{""layer"": 10, ""head"": 0, ""score"": 0.1041259765625}, {""layer"": 2, ""head"": 0, ""score"": 0.026336669921875}, {""layer"": 5, ""head"": 5, ""score"": 0.0240325927734375}, {""layer"": 0, ""head"": 4, ""score"": 0.017730712890625}, {""layer"": 1, ""head"": 6, ""score"": 0.01406097412109375}]"
IRF4	MAFA	0.0053900950588285	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
GFI1	CNR1	0.005361994728446	0.06402587890625	"[{""layer"": 0, ""head"": 0, ""score"": 0.06402587890625}, {""layer"": 4, ""head"": 0, ""score"": 0.034576416015625}, {""layer"": 6, ""head"": 1, ""score"": 0.0212554931640625}, {""layer"": 5, ""head"": 4, ""score"": 0.015777587890625}, {""layer"": 4, ""head"": 5, ""score"": 0.0153350830078125}]"
PTTG1	BIRC5	0.0053390921833359	0.23714192708333334	"[{""layer"": 0, ""head"": 6, ""score"": 0.23714192708333334}, {""layer"": 0, ""head"": 0, ""score"": 0.03985595703125}, {""layer"": 0, ""head"": 2, ""score"": 0.012685139973958334}, {""layer"": 1, ""head"": 6, ""score"": 0.009623209635416666}, {""layer"": 4, ""head"": 4, ""score"": 0.007517496744791667}]"
ID2	POU1F1	0.0052626449614763	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
HIPK2	INS	0.0052575631998479	0.0806884765625	"[{""layer"": 10, ""head"": 0, ""score"": 0.0806884765625}, {""layer"": 1, ""head"": 6, ""score"": 0.03759765625}, {""layer"": 0, ""head"": 5, ""score"": 0.0205078125}, {""layer"": 5, ""head"": 5, ""score"": 0.0172271728515625}, {""layer"": 2, ""head"": 0, ""score"": 0.016387939453125}]"
TSC22D3	INS	0.005172399803996	0.0305023193359375	"[{""layer"": 2, ""head"": 0, ""score"": 0.0305023193359375}, {""layer"": 1, ""head"": 6, ""score"": 0.02020263671875}, {""layer"": 0, ""head"": 5, ""score"": 0.016876220703125}, {""layer"": 7, ""head"": 4, ""score"": 0.01561737060546875}, {""layer"": 6, ""head"": 5, ""score"": 0.01509857177734375}]"
TLX1	NDUFV1	0.005171566735953	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
PAX5	GDF3	0.005126058589667	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
PTTG1	MKI67	0.0051159251885241	0.20703125	"[{""layer"": 0, ""head"": 6, ""score"": 0.20703125}, {""layer"": 4, ""head"": 4, ""score"": 0.00864410400390625}, {""layer"": 4, ""head"": 3, ""score"": 0.00783538818359375}, {""layer"": 11, ""head"": 7, ""score"": 0.007572174072265625}, {""layer"": 6, ""head"": 7, ""score"": 0.00751495361328125}]"
GATA3	CXCL8	0.005108683835715	0.038726806640625	"[{""layer"": 6, ""head"": 1, ""score"": 0.038726806640625}, {""layer"": 4, ""head"": 1, ""score"": 0.03863525390625}, {""layer"": 10, ""head"": 5, ""score"": 0.024200439453125}, {""layer"": 8, ""head"": 7, ""score"": 0.0231781005859375}, {""layer"": 1, ""head"": 0, ""score"": 0.0221099853515625}]"
TBX21	CXCR1	0.0050736255943775	0.1273193359375	"[{""layer"": 0, ""head"": 3, ""score"": 0.1273193359375}, {""layer"": 0, ""head"": 7, ""score"": 0.072265625}, {""layer"": 1, ""head"": 4, ""score"": 0.06573486328125}, {""layer"": 1, ""head"": 7, ""score"": 0.0147705078125}, {""layer"": 10, ""head"": 2, ""score"": 0.00989532470703125}]"
RUNX3	ADORA2A	0.0050726486369967	0.027740478515625	"[{""layer"": 0, ""head"": 4, ""score"": 0.027740478515625}, {""layer"": 2, ""head"": 0, ""score"": 0.024200439453125}, {""layer"": 1, ""head"": 4, ""score"": 0.01470184326171875}, {""layer"": 0, ""head"": 5, ""score"": 0.01398468017578125}, {""layer"": 7, ""head"": 4, ""score"": 0.01258087158203125}]"
MAFB	GDF3	0.0050269202329218	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
ATM	MBL2	0.004994673654437	0.06884765625	"[{""layer"": 0, ""head"": 5, ""score"": 0.06884765625}, {""layer"": 4, ""head"": 5, ""score"": 0.055694580078125}, {""layer"": 2, ""head"": 2, ""score"": 0.031463623046875}, {""layer"": 7, ""head"": 1, ""score"": 0.0269622802734375}, {""layer"": 1, ""head"": 2, ""score"": 0.0225830078125}]"
BCL11A	CYP2A6	0.0049945916980504	0.03753662109375	"[{""layer"": 2, ""head"": 7, ""score"": 0.03753662109375}, {""layer"": 6, ""head"": 1, ""score"": 0.02581787109375}, {""layer"": 1, ""head"": 1, ""score"": 0.0247650146484375}, {""layer"": 7, ""head"": 1, ""score"": 0.02459716796875}, {""layer"": 10, ""head"": 6, ""score"": 0.01837158203125}]"
BCL11A	GDF3	0.004985272573928	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
BATF	CXCR1	0.00494533078745	0.07720947265625	"[{""layer"": 0, ""head"": 3, ""score"": 0.07720947265625}, {""layer"": 0, ""head"": 7, ""score"": 0.049896240234375}, {""layer"": 1, ""head"": 4, ""score"": 0.029693603515625}, {""layer"": 1, ""head"": 6, ""score"": 0.0164031982421875}, {""layer"": 0, ""head"": 5, ""score"": 0.01474761962890625}]"
BCL11A	FABP4	0.0049392180517315	0.027252197265625	"[{""layer"": 11, ""head"": 1, ""score"": 0.027252197265625}, {""layer"": 0, ""head"": 4, ""score"": 0.0254669189453125}, {""layer"": 7, ""head"": 1, ""score"": 0.0234527587890625}, {""layer"": 10, ""head"": 5, ""score"": 0.020172119140625}, {""layer"": 10, ""head"": 7, ""score"": 0.01995849609375}]"
BCL11A	SH2D1A	0.0049311011098325	0.018310546875	"[{""layer"": 4, ""head"": 2, ""score"": 0.018310546875}, {""layer"": 9, ""head"": 0, ""score"": 0.01373291015625}, {""layer"": 10, ""head"": 7, ""score"": 0.0134429931640625}, {""layer"": 5, ""head"": 7, ""score"": 0.0125274658203125}, {""layer"": 11, ""head"": 1, ""score"": 0.0110626220703125}]"
EOMES	MNDA	0.004925487563014	0.025543212890625	"[{""layer"": 7, ""head"": 1, ""score"": 0.025543212890625}, {""layer"": 8, ""head"": 1, ""score"": 0.0182342529296875}, {""layer"": 4, ""head"": 1, ""score"": 0.017547607421875}, {""layer"": 3, ""head"": 6, ""score"": 0.01357269287109375}, {""layer"": 1, ""head"": 1, ""score"": 0.0133514404296875}]"
SP100	POU1F1	0.0049202567897737	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
TRIM22	MAD1L1	0.0048758417367935	0.22233072916666666	"[{""layer"": 0, ""head"": 7, ""score"": 0.22233072916666666}, {""layer"": 11, ""head"": 7, ""score"": 0.0308837890625}, {""layer"": 10, ""head"": 2, ""score"": 0.01153564453125}, {""layer"": 2, ""head"": 7, ""score"": 0.010579427083333334}, {""layer"": 1, ""head"": 7, ""score"": 0.00970458984375}]"
KLF2	GDF3	0.0048289000988006	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
FOXI1	UMOD	0.0048226090148091	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
POU1F1	SLC22A8	0.0048143307988842	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
TLX1	S100A11	0.0047804345376789	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
GABPAP	SH2D1A	0.0047795376740396	0.1353759765625	"[{""layer"": 11, ""head"": 5, ""score"": 0.1353759765625}, {""layer"": 0, ""head"": 1, ""score"": 0.0261383056640625}, {""layer"": 10, ""head"": 7, ""score"": 0.0236968994140625}, {""layer"": 9, ""head"": 1, ""score"": 0.0224609375}, {""layer"": 9, ""head"": 7, ""score"": 0.0184326171875}]"
TRIM22	CXCR1	0.0047705181335148	0.1154296875	"[{""layer"": 0, ""head"": 3, ""score"": 0.1154296875}, {""layer"": 1, ""head"": 4, ""score"": 0.109375}, {""layer"": 0, ""head"": 7, ""score"": 0.02288818359375}, {""layer"": 1, ""head"": 7, ""score"": 0.01468505859375}, {""layer"": 1, ""head"": 5, ""score"": 0.01295166015625}]"
FOXI1	THRSP	0.0047620423138141	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
PAX5	MBL2	0.0047540627419948	0.06317138671875	"[{""layer"": 0, ""head"": 5, ""score"": 0.06317138671875}, {""layer"": 4, ""head"": 5, ""score"": 0.04595947265625}, {""layer"": 1, ""head"": 4, ""score"": 0.04248046875}, {""layer"": 3, ""head"": 6, ""score"": 0.0269775390625}, {""layer"": 9, ""head"": 1, ""score"": 0.02105712890625}]"
EGR1	CXCR1	0.0047127017751336	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
RUNX1	CXCR1	0.0047093120714028	0.033294677734375	"[{""layer"": 0, ""head"": 3, ""score"": 0.033294677734375}, {""layer"": 0, ""head"": 7, ""score"": 0.0260162353515625}, {""layer"": 0, ""head"": 6, ""score"": 0.0201416015625}, {""layer"": 11, ""head"": 7, ""score"": 0.01171112060546875}, {""layer"": 11, ""head"": 6, ""score"": 0.0113983154296875}]"
IRF4	MAD1L1	0.004702428728342	0.0924072265625	"[{""layer"": 0, ""head"": 7, ""score"": 0.0924072265625}, {""layer"": 11, ""head"": 7, ""score"": 0.0225982666015625}, {""layer"": 2, ""head"": 7, ""score"": 0.0165557861328125}, {""layer"": 0, ""head"": 3, ""score"": 0.0151824951171875}, {""layer"": 2, ""head"": 2, ""score"": 0.01343536376953125}]"
SOX11	JUN	0.0046926122158765	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
IKZF1	CXCR1	0.0046637754725373	0.10089111328125	"[{""layer"": 0, ""head"": 3, ""score"": 0.10089111328125}, {""layer"": 1, ""head"": 4, ""score"": 0.023956298828125}, {""layer"": 0, ""head"": 7, ""score"": 0.017059326171875}, {""layer"": 11, ""head"": 7, ""score"": 0.0111236572265625}, {""layer"": 10, ""head"": 2, ""score"": 0.00890350341796875}]"
SOX11	EGR1	0.0046349386684596	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
SP100	MAD1L1	0.004630445521705	0.1259765625	"[{""layer"": 0, ""head"": 7, ""score"": 0.1259765625}, {""layer"": 11, ""head"": 7, ""score"": 0.027766927083333334}, {""layer"": 0, ""head"": 0, ""score"": 0.022102864583333333}, {""layer"": 0, ""head"": 3, ""score"": 0.017024739583333334}, {""layer"": 1, ""head"": 6, ""score"": 0.0162109375}]"
SOX11	PMAIP1	0.0046272515319287	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
JUN	POU1F1	0.0046225260011851	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
CIITA	MAD1L1	0.0045991688966751	0.09510633680555555	"[{""layer"": 0, ""head"": 7, ""score"": 0.09510633680555555}, {""layer"": 0, ""head"": 3, ""score"": 0.05026584201388889}, {""layer"": 11, ""head"": 7, ""score"": 0.029622395833333332}, {""layer"": 1, ""head"": 6, ""score"": 0.015489366319444444}, {""layer"": 0, ""head"": 0, ""score"": 0.015177408854166666}]"
SOX11	JUNB	0.0045983106829226	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
KLF2	CXCR1	0.0045979789325169	0.10309709821428571	"[{""layer"": 0, ""head"": 3, ""score"": 0.10309709821428571}, {""layer"": 1, ""head"": 4, ""score"": 0.016392299107142856}, {""layer"": 0, ""head"": 7, ""score"": 0.015659877232142856}, {""layer"": 10, ""head"": 2, ""score"": 0.010768345424107142}, {""layer"": 11, ""head"": 1, ""score"": 0.009163992745535714}]"
ID1	CELSR3	0.0045913928188383	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
