layer	head	aupr_bootstrap_mean	aupr_bootstrap_std	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq	bootstrap_repeats	bootstrap_pairs	bootstrap_top_k	bootstrap_seed
0	0	0.005942390592742388	0.0020874228007637277	0.0030575672006552717	0.01016975121254804	18.5	0.16	50	13189	10	1042
0	1	0.008756418180817247	0.0047446846752246825	0.0030206280783163972	0.022339077412071518	8.92	0.72	50	13189	10	1042
0	2	0.004185918625186073	0.001207746084637079	0.0024589744429097276	0.006514653553563998	86.3	0.0	50	13189	10	1042
0	3	0.00272886700702057	0.0007940804160619058	0.0013198343185251986	0.004361924761736866	95.2	0.0	50	13189	10	1042
0	4	0.005792478259758398	0.001998216728065804	0.002882232441314414	0.009863686001970325	23.12	0.06	50	13189	10	1042
0	5	0.004097763754724589	0.0011547338375529454	0.0025056373430537445	0.006475151636839855	89.3	0.0	50	13189	10	1042
0	6	0.014647871636296717	0.0079387893479663	0.004334236150653628	0.03589958700875448	1.84	1.0	50	13189	10	1042
0	7	0.0030340608434153743	0.001021741319614426	0.0014966630695787523	0.004908166124246727	91.5	0.0	50	13189	10	1042
1	0	0.004321569315135205	0.0012861552008968157	0.002601793014860706	0.0071378216937170065	80.18	0.0	50	13189	10	1042
1	1	0.005136683430993497	0.0015944720346385145	0.0026807685283784795	0.007729316097547315	41.32	0.02	50	13189	10	1042
1	2	0.003963806194851735	0.0010973881961450285	0.0023920121055913453	0.006370231611116051	92.96	0.0	50	13189	10	1042
1	3	0.004779551090315613	0.0014424668532705997	0.0026118202791348853	0.008190886948880472	55.92	0.0	50	13189	10	1042
1	4	0.004427888027989891	0.001286449652063218	0.0024696749596280626	0.006639530635081484	74.0	0.0	50	13189	10	1042
1	5	0.004373578931356579	0.001241564784091277	0.0024672418527514365	0.006521620865585988	74.86	0.0	50	13189	10	1042
1	6	0.005847783179391841	0.0019413841866412966	0.0029762505579372504	0.010115928107521632	18.94	0.06	50	13189	10	1042
1	7	0.004026589727159498	0.001115311674487765	0.002399795426159535	0.006357350851058851	91.06	0.0	50	13189	10	1042
2	0	0.004677746587397542	0.0013967169011609181	0.0026666348473466644	0.007527166695102287	62.68	0.0	50	13189	10	1042
2	1	0.0045871766209207125	0.0013241752078947192	0.002658150264330875	0.007362737476547573	65.26	0.0	50	13189	10	1042
2	2	0.005606470304558421	0.0019065511434556784	0.003032635685094104	0.010208615377986268	25.14	0.04	50	13189	10	1042
2	3	0.00536209360244906	0.0016202696726131754	0.00289091977210286	0.00914871377488619	29.1	0.0	50	13189	10	1042
2	4	0.005089397674489008	0.0015865546868070704	0.002668134650007561	0.0076381103519167935	44.48	0.06	50	13189	10	1042
2	5	0.004187839363587588	0.001195325336954859	0.0024750047916289094	0.006682163589974878	86.4	0.0	50	13189	10	1042
2	6	0.004304926110125877	0.0012323498029117993	0.0025263625076918333	0.006625509167789073	81.5	0.0	50	13189	10	1042
2	7	0.004325664706451104	0.001231491036260163	0.0025338583988492773	0.006629531985181186	79.58	0.0	50	13189	10	1042
3	0	0.005078229475080515	0.0015393345909491612	0.0029307302128898224	0.008371988005721842	39.34	0.0	50	13189	10	1042
3	1	0.005155683143755732	0.00164540825447151	0.0027591352972912877	0.008343614824678278	40.4	0.0	50	13189	10	1042
3	2	0.007351995707816015	0.00259058928261073	0.0034600247265844397	0.013244206408720023	6.94	0.94	50	13189	10	1042
3	3	0.005307854397865531	0.0016603590997388556	0.0028857921546856925	0.008729860487671872	31.18	0.0	50	13189	10	1042
3	4	0.005087379145635733	0.0016045506932097857	0.0027326885068425324	0.00877232557380533	40.46	0.0	50	13189	10	1042
3	5	0.004387091006687265	0.001256013894325796	0.0025638565172355823	0.007156749394694117	77.24	0.0	50	13189	10	1042
3	6	0.004230095000160747	0.0012219374771208682	0.0025091638799628656	0.006648376359174413	84.66	0.0	50	13189	10	1042
3	7	0.005138498568301857	0.0015733764654054518	0.0027284637184219356	0.008048869493018728	38.28	0.0	50	13189	10	1042
4	0	0.005044728124946207	0.0015692817639574974	0.0027623907725420997	0.008170416148584008	43.8	0.0	50	13189	10	1042
4	1	0.004697422751378296	0.0014060782952687693	0.002607860562230075	0.007401865795511152	60.84	0.0	50	13189	10	1042
4	2	0.004197215577888009	0.0012354125283094112	0.0024817682716408813	0.007063041987660954	85.86	0.0	50	13189	10	1042
4	3	0.008301466763342187	0.003412947779825613	0.003206207692263149	0.015440125149175787	5.42	0.92	50	13189	10	1042
4	4	0.005346509198733085	0.001751636976840382	0.0029192811980230577	0.008770046053439636	33.12	0.02	50	13189	10	1042
4	5	0.005170934471261525	0.0015717656676908001	0.0027791086709148967	0.008122523742299567	36.5	0.0	50	13189	10	1042
4	6	0.004454137228117511	0.0013001597984105594	0.0025742226257765006	0.006957833241500282	73.26	0.0	50	13189	10	1042
4	7	0.004732526438876665	0.0014375515930423921	0.0026913566400123055	0.007615873378391534	58.02	0.0	50	13189	10	1042
5	0	0.004806462747701007	0.001406760016448384	0.0025809630937710768	0.007900027907067814	54.74	0.0	50	13189	10	1042
5	1	0.004844099820812819	0.0014935951047652313	0.00283942646023015	0.008362062623713152	52.42	0.0	50	13189	10	1042
5	2	0.005186663410536819	0.0016363079043382996	0.002738067612796851	0.009111728261835083	37.36	0.0	50	13189	10	1042
5	3	0.005965336739098329	0.0019354297105908275	0.0031555288991632724	0.00977949553798544	17.7	0.16	50	13189	10	1042
5	4	0.004646609983694371	0.0014026453573714908	0.002536207946733243	0.007796008873896941	65.78	0.0	50	13189	10	1042
5	5	0.004848517246703133	0.0014872438993883562	0.002700422089772613	0.008435817996050898	52.08	0.0	50	13189	10	1042
5	6	0.003923318680410718	0.0010608760951337406	0.0024467993682698217	0.006218284523528635	93.48	0.0	50	13189	10	1042
5	7	0.007880041936084775	0.002659096907456294	0.00358415289230514	0.013721860118709177	5.8	0.94	50	13189	10	1042
6	0	0.004223981862072292	0.0011969308944466208	0.002442303303756747	0.006887397812015711	84.48	0.0	50	13189	10	1042
6	1	0.005050186963720598	0.0015045749957195381	0.0027895236600452545	0.008395498229275256	41.04	0.0	50	13189	10	1042
6	2	0.005128229596738687	0.0015466467232811817	0.0027586182878922704	0.008450687214485391	38.46	0.0	50	13189	10	1042
6	3	0.006326840267546544	0.0021136785257487812	0.0029354704923077353	0.011591848812668613	14.38	0.42	50	13189	10	1042
6	4	0.004997135287140922	0.001543592950261691	0.0027775106508329188	0.008956915262330315	44.76	0.0	50	13189	10	1042
6	5	0.006439898081054936	0.0021462436511529527	0.0030892635193261304	0.010408298926076339	17.16	0.4	50	13189	10	1042
6	6	0.004605580932951105	0.0013625099658954015	0.002688180691377088	0.007370081227208574	64.96	0.0	50	13189	10	1042
6	7	0.006384915564903368	0.0021629413613382703	0.003384749227396934	0.010551023042763043	12.14	0.28	50	13189	10	1042
7	0	0.00460309007612733	0.0013618889438004006	0.0026387702903553764	0.007709752497022565	66.0	0.0	50	13189	10	1042
7	1	0.005149671651347665	0.0015571054771186545	0.0027932739201963356	0.008610832282914139	37.46	0.0	50	13189	10	1042
7	2	0.005181224841590352	0.0015811811472705632	0.0027684202655000696	0.008745211849357457	35.6	0.0	50	13189	10	1042
7	3	0.005600536203069948	0.0019759405154155672	0.0030820627837550413	0.009678307658524617	28.68	0.08	50	13189	10	1042
7	4	0.004377922570544413	0.0013013923062394832	0.0024952812356141578	0.00733370271170005	77.96	0.0	50	13189	10	1042
