baseline	precision_mean	precision_std	precision_ci_low	precision_ci_high	recall_mean	recall_std	recall_ci_low	recall_ci_high	f1_mean	f1_std	f1_ci_low	f1_ci_high	aupr_mean	aupr_std	aupr_ci_low	aupr_ci_high	predicted_edges_mean	predicted_edges_std	predicted_edges_ci_low	predicted_edges_ci_high	true_edges	candidate_pairs	candidate_positives	candidate_positive_rate	evaluated_pairs
aggregate	0.0018181818181818182				0.03125				0.0034364261168384883				0.00425025799833309				550.0				32	13189	30	0.002274622791720373	13189
random_head	0.004223484848484849	0.003923289854551698	0.0	0.013863636363636364	0.07259114583333333	0.06743154437510732	0.0	0.23828125	0.007982531500572739	0.00741515264605991	0.0	0.026202749140893475	0.004796438080044189	0.0012726017537372306	0.0035790733840497142	0.0077882933762336085	550.0	0.0	550.0	550.0	32	13189	30	0.002274622791720373	13189
