layer	head	aupr_bootstrap_mean	aupr_bootstrap_std	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq	bootstrap_repeats	bootstrap_pairs	bootstrap_top_k	bootstrap_seed
0	0	0.002202919799348653	0.0008243789758330775	0.0007339510976881909	0.003928694444132093	19.16	0.16	50	50000	10	1042
0	1	0.0027749001047552343	0.0011892867650951286	0.0007156370737883216	0.005618638469604537	10.82	0.58	50	50000	10	1042
0	2	0.0016734133953519195	0.0005666027489446961	0.0005877874313885082	0.0029006122790997	77.86	0.0	50	50000	10	1042
0	3	0.0009199087164874747	0.00030886037747231826	0.00036579223297034976	0.001533475110638819	95.78	0.0	50	50000	10	1042
0	4	0.0023389058020893277	0.000929879603634217	0.0008214193233257675	0.004310152284043808	16.18	0.2	50	50000	10	1042
0	5	0.0015683042133055507	0.0005355863897732289	0.0005758745861345283	0.0027572609355426205	90.22	0.0	50	50000	10	1042
0	6	0.005456597776191808	0.003014762738469174	0.0018278996820984845	0.013823425326344044	1.92	0.96	50	50000	10	1042
0	7	0.0010439575094141288	0.000417268987130732	0.0004597584693384684	0.0019396648751562491	93.08	0.0	50	50000	10	1042
1	0	0.0017186465020889768	0.0005760880497347599	0.0006246096067924051	0.0029160933027410703	71.26	0.0	50	50000	10	1042
1	1	0.0019202501197321214	0.0006801029990624086	0.0006386771482028167	0.0034956476269882427	41.74	0.04	50	50000	10	1042
1	2	0.0015251519811022313	0.0005062307649601368	0.0005530122996977684	0.0026398312363684387	92.78	0.0	50	50000	10	1042
1	3	0.001917421680219787	0.0006860018787614927	0.0006835692329876491	0.0034897132819057338	40.68	0.0	50	50000	10	1042
1	4	0.0017093480812217748	0.0005921071131840834	0.000577338014269195	0.002954812977831724	71.56	0.0	50	50000	10	1042
1	5	0.0016758419252960904	0.000561730383120559	0.0006295572742255732	0.002934544299979166	76.28	0.0	50	50000	10	1042
1	6	0.002401228898129031	0.0009451113454771111	0.0008077889127651714	0.004697317361945704	12.96	0.32	50	50000	10	1042
1	7	0.0015728278866616386	0.0005284020949062106	0.0005694036130903576	0.0027557489668355913	90.22	0.0	50	50000	10	1042
2	0	0.0018006769381685706	0.0006338185839990936	0.0006303207559639144	0.0032095938698719	59.92	0.0	50	50000	10	1042
2	1	0.0017953595681281518	0.0006102458503411805	0.0006411895773344653	0.0031796731614257105	57.02	0.0	50	50000	10	1042
2	2	0.00209917392564812	0.0007897174818493557	0.0006885856962568331	0.0036244578949048228	26.1	0.06	50	50000	10	1042
2	3	0.0020617917906233427	0.0007414423463579073	0.0007244611187671153	0.0037350295326473624	25.12	0.0	50	50000	10	1042
2	4	0.001909631487689155	0.0006900378958746318	0.0006197793640883783	0.003375184042720129	45.12	0.06	50	50000	10	1042
2	5	0.0016099471604728995	0.0005369973475796387	0.000591556635132845	0.0027988358368813415	86.5	0.0	50	50000	10	1042
2	6	0.0016547523946087894	0.0005732623912742519	0.0006018906827826674	0.0029144161810765847	82.3	0.0	50	50000	10	1042
2	7	0.0016818759376144602	0.0005715117806063355	0.0006139311082517272	0.0029814354453620443	76.6	0.0	50	50000	10	1042
3	0	0.0019192433084992747	0.0006820054868737315	0.0006351930407086086	0.003404266953122421	39.78	0.0	50	50000	10	1042
3	1	0.0018651605990033216	0.0006976396077845732	0.0006431276465703571	0.003284499725286388	50.78	0.0	50	50000	10	1042
3	2	0.002652213906911275	0.0011381059632142084	0.0009468146465116065	0.00557238497103009	8.64	0.72	50	50000	10	1042
3	3	0.0020140102134690303	0.0007297779669570948	0.000732513951899711	0.0036281355690621075	29.54	0.02	50	50000	10	1042
