baseline	precision_mean	precision_std	precision_ci_low	precision_ci_high	recall_mean	recall_std	recall_ci_low	recall_ci_high	f1_mean	f1_std	f1_ci_low	f1_ci_high	aupr_mean	aupr_std	aupr_ci_low	aupr_ci_high	predicted_edges_mean	predicted_edges_std	predicted_edges_ci_low	predicted_edges_ci_high	true_edges	candidate_pairs	candidate_positives	candidate_positive_rate	evaluated_pairs
aggregate	1.666722224074136e-05				0.03125				3.3316674995835414e-05				0.0013966586111741795				59998.0				32	1438800	30	2.085070892410342e-05	50000
random_head	3.871602721899171e-05	3.5964197527874384e-05	0.0	0.00012708618062731684	0.07259114583333333	0.06743154437510732	0.0	0.23828125	7.739077855708724e-05	7.189005294021644e-05	0.0	0.0002540368718873893	0.0016052748068161123	0.00043218040092677697	0.0012090752894399134	0.0025604690190134515	59998.895833333336	0.6993920971497717	59998.0	60000.0	32	1438800	30	2.085070892410342e-05	50000
