layer	head	precision	recall	f1	aupr	predicted_edges	true_edges	candidate_pairs	candidate_positives	candidate_positive_rate	evaluated_pairs	aupr_bootstrap_mean	aupr_bootstrap_std	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq
0	0	5.0000833347222455e-05	0.09375	9.994836001399276e-05	0.0018181399682665694	59999	32	1438800	30	2.085070892410342e-05	50000	0.002202919799348653	0.0008243789758330775	0.0007339510976881909	0.003928694444132093	19.16	0.16
0	1	5.0000833347222455e-05	0.09375	9.994836001399276e-05	0.002200728461820187	59999	32	1438800	30	2.085070892410342e-05	50000	0.0027749001047552343	0.0011892867650951286	0.0007156370737883216	0.005618638469604537	10.82	0.58
0	2	0.0	0.0	0.0	0.0013408173660654297	59999	32	1438800	30	2.085070892410342e-05	50000	0.0016734133953519195	0.0005666027489446961	0.0005877874313885082	0.0029006122790997	77.86	0.0
0	3	0.0	0.0	0.0	0.0006438877068697849	60000	32	1438800	30	2.085070892410342e-05	50000	0.0009199087164874747	0.00030886037747231826	0.00036579223297034976	0.001533475110638819	95.78	0.0
0	4	8.333472224537075e-05	0.15625	0.00016658060002332128	0.0018913167041400168	59999	32	1438800	30	2.085070892410342e-05	50000	0.0023389058020893277	0.000929879603634217	0.0008214193233257675	0.004310152284043808	16.18	0.2
0	5	0.0	0.0	0.0	0.0012576878284595925	60000	32	1438800	30	2.085070892410342e-05	50000	0.0015683042133055507	0.0005355863897732289	0.0005758745861345283	0.0027572609355426205	90.22	0.0
0	6	0.0001166705556851895	0.21875	0.0002332167249708479	0.004557090581364503	59998	32	1438800	30	2.085070892410342e-05	50000	0.005456597776191808	0.003014762738469174	0.0018278996820984845	0.013823425326344044	1.92	0.96
0	7	1.6666944449074153e-05	0.03125	3.3316120004664264e-05	0.0007021339429475611	59999	32	1438800	30	2.085070892410342e-05	50000	0.0010439575094141288	0.000417268987130732	0.0004597584693384684	0.0019396648751562491	93.08	0.0
1	0	1.6666944449074153e-05	0.03125	3.3316120004664264e-05	0.0013605418935824097	59999	32	1438800	30	2.085070892410342e-05	50000	0.0017186465020889768	0.0005760880497347599	0.0006246096067924051	0.0029160933027410703	71.26	0.0
1	1	3.3333333333333335e-05	0.0625	6.66311300639659e-05	0.0015351912887550184	60000	32	1438800	30	2.085070892410342e-05	50000	0.0019202501197321214	0.0006801029990624086	0.0006386771482028167	0.0034956476269882427	41.74	0.04
