source	target	score
SOX6	GABRA2	0.11934421211481094
MAL	CTD-2542L18.1	0.1175570860505104
NCOA4	CTD-2542L18.1	0.11646497249603271
MAL	RP11-15E1.5	0.11551806330680847
SOX6	RP11-478H12.2	0.11351688951253891
SOX6	AC005730.2	0.11315643787384033
MAL	PDCL3P2	0.11273849010467529
SOX6	OR10K1	0.10849758982658386
SOX6	PCAT5	0.104532890021801
MAL	RP11-67L17.1	0.10183066129684448
MXI1	XGY1	0.10022563487291336
MAL	CTA-392E5.1	0.0966285839676857
MAL	BTBD10P2	0.09329476207494736
SOX6	SPINK5	0.09036537259817123
PBX1	C2orf88	0.09016767889261246
NCOA4	BTBD10P2	0.0887802466750145
PBX1	OSBP2	0.08729126304388046
LYL1	RP11-192M23.1	0.08441194146871567
NCOA4	TCAM1P	0.08426970988512039
MXI1	RP11-162A12.3	0.08325835317373276
MXI1	RP11-1334A24.5	0.08214550465345383
MAL	TMEM86B	0.07973933219909668
MAL	DPCD	0.07923364639282227
SOX6	SP9	0.07906107604503632
NFIX	CSNKA2IP	0.07882841676473618
MAL	NATD1	0.07841625064611435
MAL	IGKV3-11	0.07680303603410721
NCOA4	OR52N2	0.07646530866622925
MXI1	KB-1440D3.21	0.07642704248428345
MAL	OR52N2	0.07548574358224869
MAL	SNORD11	0.07516348361968994
NCOA4	AC137932.5	0.07335229963064194
LYL1	ABALON	0.07266342639923096
NFE2	DRC7	0.07219234853982925
LYL1	ADH6	0.07024956494569778
MXI1	TCAM1P	0.06841921806335449
MAL	SLC38A5	0.06834423542022705
NCOA4	MTND6P3	0.06727344542741776
MXI1	DRC7	0.06671634316444397
PBX1	IGHG3	0.06466349959373474
MXI1	SNORD71	0.06350305676460266
NFIX	PSMC1P7	0.05941057205200195
NCOA4	CFAP77	0.059144437313079834
MAL	MTCO1P12	0.057756968906947544
MAL	FBXO9	0.05736045837402344
MAL	DCAF12	0.057109004259109496
NEUROD1	TUSC7	0.057018619030714035
MXI1	SLC7A14	0.056777894496917725
NCOA4	CSNKA2IP	0.05672737956047058
MAL	SLC7A14	0.05658164620399475
MXI1	SERPINC1	0.05600808560848236
PBX1	RP11-477H21.2	0.05598290637135506
NFE2	FAM240B	0.05544860661029816
PBX1	TMEM242-DT	0.05504653975367546
MAL	IL7R	0.05427888327953862
NCOA4	ABALON	0.054045289754867554
MXI1	RP11-425D17.1	0.054043907672166824
MXI1	RP11-826N14.1	0.05386785790324211
MAL	RP11-567M21.3	0.053850192576646805
MXI1	RP11-159F24.2	0.05375957489013672
PBX1	RP11-15E1.5	0.05319077894091606
LYL1	SNORD17	0.05285317823290825
NEUROD1	RP11-217O12.1	0.05257386341691017
NCOA4	RP11-432O12.1	0.05246329307556152
MAL	R3HDM4	0.05195829768975576
MXI1	ABALON	0.05190708115696907
MAL	CXCL1	0.051716726273298264
LYL1	TMEM242-DT	0.05156266689300537
MAL	RNU6-1092P	0.05152778699994087
NCOA4	TUSC7	0.051500964909791946
NFIX	IGLV4-69	0.05146579071879387
NEUROD1	FAM83A-AS1	0.05143870413303375
MAL	DPM2	0.051259572307268776
MAL	ACSL6	0.050769779831171036
MAL	CTNNAL1	0.0507279098033905
MXI1	OR10AH1P	0.050072330981492996
MXI1	ACSL6	0.04991997182369232
SOX6	KDM7A-DT	0.04989394173026085
TAL1	TMEM242-DT	0.049271389842033386
MAL	BBOF1	0.04915930703282356
MAL	EIF2AK1	0.04883905557485727
LYL1	RP11-257N21.1	0.04856441542506218
NCOA4	IGHV5-51	0.04837949946522713
MXI1	TMEM242-DT	0.048315782099962234
MXI1	RP11-477H21.2	0.04818634316325188
NFE2	C4orf17	0.04796447232365608
MXI1	IGKV4-1	0.0477994866669178
MAL	CCL4	0.047775902918406894
SOX6	CTC-439N6.1	0.047264475375413895
NCOA4	FAM240B	0.04713110253214836
MAL	ABALON	0.04702794924378395
NCOA4	RP11-567M21.3	0.04683125019073486
NCOA4	RP11-265D17.2	0.046706825494766235
MAL	KRT1	0.046499792486429214
NCOA4	FAM83A-AS1	0.045955609530210495
NCOA4	RP11-15E1.5	0.04582932963967323
E2F2	AP000962.2	0.0457247756421566
MAL	RP11-439C15.4	0.04544543847441673
MAL	RP11-1299A16.3	0.04530057683587074
MXI1	YBX3P1	0.04529455304145813
NCOA4	RNU6-1092P	0.04524931311607361
