layer	head	head_id	n_thresholds_tested	n_thresholds_significant	min_q_value	max_odds_ratio	mean_odds_ratio	mean_high_conf_fraction	max_high_conf_fraction
0	3	0:3	4	4	1.1469116126870234e-14	4.131799163179917	3.8909851963269255	0.3005780346820809	0.45664739884393063
10	2	10:2	4	1	0.034666782900792434	1.781885026737968	1.608642751210146	0.1794871794871795	0.2948717948717949
0	2	0:2	4	0	0.12532514411713816	2.490063669689369	2.0253530105942863	0.2073170731707317	0.3048780487804878
1	5	1:5	4	0	0.4048638781732831	3.724310776942356	2.036122721619435	0.19	0.24
2	0	2:0	4	0	0.4051956100719132	2.524621212121212	1.508971680201519	0.1956521739130435	0.34782608695652173
11	5	11:5	4	0	0.9249199620055306	4.267806267806268	2.106036257749143	0.18181818181818182	0.18181818181818182
0	5	0:5	4	0	0.9448104947703899	1.7426381605486083	1.2429386959789577	0.136986301369863	0.1917808219178082
1	1	1:1	4	0	1.0	2.0079617834394905	1.66764899006118	0.1875	0.3333333333333333
1	3	1:3	4	0	1.0	1.9181818181818182	1.554000252787268	0.17424242424242425	0.2727272727272727
1	4	1:4	4	0	1.0	1.8167741935483872	1.1412359764471258	0.13541666666666666	0.16666666666666666
2	7	2:7	4	0	1.0	1.8115384615384615	1.1225585903797786	0.1527777777777778	0.2777777777777778
9	1	9:1	4	0	1.0	1.8949367088607596	1.0608649789029536	0.11363636363636365	0.18181818181818182
0	0	0:0	4	0	1.0	1.2230193387398627	0.9612842143151445	0.12745098039215685	0.21568627450980393
1	6	1:6	4	0	1.0	1.000250312891114	0.9227167095316245	0.1125	0.15
0	7	0:7	4	0	1.0	0.9557615894039735	0.8870286917421665	0.11144578313253012	0.18072289156626506
0	6	0:6	4	0	1.0	1.0125921089450611	0.82932874435872	0.10759493670886076	0.17721518987341772
11	7	11:7	4	0	1.0	0.7503797468354431	0.7384123134434998	0.09615384615384616	0.15384615384615385
1	2	1:2	4	0	1.0	1.1122994652406417	0.6652104504473523	0.07870370370370369	0.12962962962962962
0	1	0:1	4	0	1.0	0.9114413680781759	0.6102289334698944	0.09745762711864407	0.1864406779661017
10	5	10:5	4	0	1.0	0.8482978723404255	0.5227170642003386	0.08695652173913043	0.17391304347826086
10	0	10:0	4	0	1.0	0.6916666666666667	0.501982918056615	0.07905982905982906	0.13675213675213677
4	3	4:3	4	0	1.0	0.7210321324245375	0.4565169243972076	0.05555555555555555	0.07407407407407407
8	2	8:2	4	0	1.0	0.7468354430379747	0.3868474002493489	0.057692307692307696	0.07692307692307693
8	4	8:4	4	0	1.0	1.064968152866242	0.3442425070398141	0.06578947368421052	0.21052631578947367
6	4	6:4	4	0	1.0	0.6282231598687295	0.26746588460440635	0.05	0.1
8	5	8:5	4	0	1.0	0.6282231598687295	0.26746588460440635	0.05	0.1
0	4	0:4	4	0	1.0	0.749456852350743	0.2532943987212612	0.05113636363636363	0.1590909090909091
1	0	1:0	4	0	1.0	0.38573933372296904	0.23782505604095616	0.04032258064516129	0.06451612903225806
6	6	6:6	4	0	1.0	0.3971608832807571	0.09929022082018928	0.022727272727272728	0.09090909090909091
1	7	1:7	4	0	1.0	0.0	0.0	0.0	0.0
2	6	2:6	4	0	1.0	0.0	0.0	0.0	0.0
9	6	9:6	4	0	1.0	0.0	0.0	0.0	0.0
10	6	10:6	4	0	1.0	0.0	0.0	0.0	0.0
11	0	11:0	4	0	1.0	0.0	0.0	0.0	0.0
11	3	11:3	4	0	1.0	0.0	0.0	0.0	0.0
11	4	11:4	4	0	1.0	0.0	0.0	0.0	0.0
