source	target	edge_score	max_head_layer_score	top_head_layers
SOX6	GABRA2	0.1193442121148109	0.5537109375	"[{""layer"": 0, ""head"": 6, ""score"": 0.5537109375}, {""layer"": 11, ""head"": 3, ""score"": 0.450927734375}, {""layer"": 11, ""head"": 4, ""score"": 0.418212890625}, {""layer"": 3, ""head"": 0, ""score"": 0.395751953125}, {""layer"": 10, ""head"": 0, ""score"": 0.343017578125}]"
MAL	CTD-2542L18.1	0.1175570860505104	0.67578125	"[{""layer"": 1, ""head"": 3, ""score"": 0.67578125}, {""layer"": 0, ""head"": 3, ""score"": 0.59423828125}, {""layer"": 1, ""head"": 6, ""score"": 0.52490234375}, {""layer"": 1, ""head"": 2, ""score"": 0.3603515625}, {""layer"": 2, ""head"": 6, ""score"": 0.35546875}]"
NCOA4	CTD-2542L18.1	0.1164649724960327	0.7548828125	"[{""layer"": 0, ""head"": 3, ""score"": 0.7548828125}, {""layer"": 1, ""head"": 3, ""score"": 0.56982421875}, {""layer"": 1, ""head"": 6, ""score"": 0.49169921875}, {""layer"": 0, ""head"": 5, ""score"": 0.44140625}, {""layer"": 2, ""head"": 2, ""score"": 0.337646484375}]"
MAL	RP11-15E1.5	0.1155180633068084	0.80078125	"[{""layer"": 0, ""head"": 2, ""score"": 0.80078125}, {""layer"": 1, ""head"": 5, ""score"": 0.473388671875}, {""layer"": 4, ""head"": 5, ""score"": 0.30517578125}, {""layer"": 4, ""head"": 1, ""score"": 0.3017578125}, {""layer"": 2, ""head"": 6, ""score"": 0.2841796875}]"
SOX6	RP11-478H12.2	0.1135168895125389	0.68701171875	"[{""layer"": 0, ""head"": 7, ""score"": 0.68701171875}, {""layer"": 1, ""head"": 5, ""score"": 0.404052734375}, {""layer"": 0, ""head"": 1, ""score"": 0.317626953125}, {""layer"": 1, ""head"": 0, ""score"": 0.29931640625}, {""layer"": 11, ""head"": 7, ""score"": 0.281982421875}]"
SOX6	AC005730.2	0.1131564378738403	0.56494140625	"[{""layer"": 11, ""head"": 7, ""score"": 0.56494140625}, {""layer"": 0, ""head"": 3, ""score"": 0.465576171875}, {""layer"": 10, ""head"": 2, ""score"": 0.35498046875}, {""layer"": 1, ""head"": 6, ""score"": 0.352783203125}, {""layer"": 1, ""head"": 1, ""score"": 0.289306640625}]"
MAL	PDCL3P2	0.1127384901046752	0.85009765625	"[{""layer"": 0, ""head"": 3, ""score"": 0.85009765625}, {""layer"": 1, ""head"": 2, ""score"": 0.50830078125}, {""layer"": 1, ""head"": 6, ""score"": 0.427490234375}, {""layer"": 1, ""head"": 3, ""score"": 0.406005859375}, {""layer"": 1, ""head"": 1, ""score"": 0.359619140625}]"
SOX6	OR10K1	0.1084975898265838	0.377685546875	"[{""layer"": 0, ""head"": 2, ""score"": 0.377685546875}, {""layer"": 0, ""head"": 4, ""score"": 0.284423828125}, {""layer"": 10, ""head"": 2, ""score"": 0.282470703125}, {""layer"": 1, ""head"": 2, ""score"": 0.2364501953125}, {""layer"": 1, ""head"": 4, ""score"": 0.2261962890625}]"
SOX6	PCAT5	0.104532890021801	0.703125	"[{""layer"": 0, ""head"": 5, ""score"": 0.703125}, {""layer"": 1, ""head"": 3, ""score"": 0.32666015625}, {""layer"": 3, ""head"": 7, ""score"": 0.229248046875}, {""layer"": 5, ""head"": 4, ""score"": 0.2047119140625}, {""layer"": 2, ""head"": 6, ""score"": 0.1903076171875}]"
MAL	RP11-67L17.1	0.1018306612968444	0.70166015625	"[{""layer"": 10, ""head"": 2, ""score"": 0.70166015625}, {""layer"": 0, ""head"": 5, ""score"": 0.465576171875}, {""layer"": 0, ""head"": 3, ""score"": 0.44482421875}, {""layer"": 0, ""head"": 0, ""score"": 0.361572265625}, {""layer"": 11, ""head"": 5, ""score"": 0.3232421875}]"
