checkpoint	head_id	significant_thresholds	n_significant	n_tested	min_q_value	max_odds_ratio	mean_odds_ratio	mean_high_conf_fraction
brain	0:3	0/4	0	4	0.6165106059067036	2.884990253411306	2.1426328955469622	0.21774193548387094
brain	0:5	0/4	0	4	1.0	1.2917038358608386	0.9844189608985348	0.11904761904761899
brain	9:1	0/0	0	0				
kidney	0:3	0/4	0	4	0.3860756169646837	1.4946869505389495	1.4047466353101656	0.15880503144654085
kidney	0:5	0/4	0	4	0.458301392437043	1.5448275862068963	1.437474657819733	0.16326530612244894
kidney	9:1	0/0	0	0				
whole_human	0:3	4/4	4	4	1.1469116126870234e-14	4.131799163179917	3.890985196326925	0.3005780346820809
whole_human	0:5	0/4	0	4	0.94481049477039	1.7426381605486083	1.242938695978958	0.136986301369863
whole_human	9:1	0/4	0	4	1.0	1.8949367088607596	1.0608649789029536	0.11363636363636362
