baseline	precision_mean	precision_std	precision_ci_low	precision_ci_high	recall_mean	recall_std	recall_ci_low	recall_ci_high	f1_mean	f1_std	f1_ci_low	f1_ci_high	aupr_mean	aupr_std	aupr_ci_low	aupr_ci_high	predicted_edges_mean	predicted_edges_std	predicted_edges_ci_low	predicted_edges_ci_high	true_edges	candidate_pairs	candidate_positives	candidate_positive_rate	evaluated_pairs
aggregate	0.09554140127388536				0.9375				0.17341040462427748				0.10964538983862113				314.0				32	314	30	0.09554140127388536	314
random_head	0.09554140127388534	1.3877787807814457e-17	0.09554140127388536	0.09554140127388536	0.9375	0.0	0.9375	0.9375	0.17341040462427748	0.0	0.17341040462427748	0.17341040462427748	0.12534869373815805	0.017386785723168312	0.10477211234206986	0.16361659548986868	314.0	0.0	314.0	314.0	32	314	30	0.09554140127388536	314
