layer	head	aupr_bootstrap_mean	aupr_bootstrap_std	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq	bootstrap_repeats	bootstrap_pairs	bootstrap_top_k	bootstrap_seed
0	0	0.12689199315524582	0.03596652958569932	0.07104287502496215	0.19645292344229023	40.84	0.02	50	314	10	1042
0	1	0.14206902850973027	0.04546116914155046	0.072703192556332	0.22708710201437313	24.32	0.32	50	314	10	1042
0	2	0.11184200620940687	0.029778654211345866	0.07098162953445387	0.17377131415195915	77.78	0.0	50	314	10	1042
0	3	0.09771422925078116	0.028664723101851773	0.05230183664989447	0.16265051577221648	89.02	0.0	50	314	10	1042
0	4	0.11620948586100921	0.03051795722139637	0.0732003204251797	0.18558807680693074	69.8	0.0	50	314	10	1042
0	5	0.11404462677713394	0.030247410016116378	0.07029432514174193	0.18372485762273524	73.5	0.0	50	314	10	1042
0	6	0.15728885865262357	0.0537402302740807	0.08300656105395933	0.26320948083565265	13.88	0.6	50	314	10	1042
0	7	0.09552293694467932	0.02854961966684401	0.04779467982495262	0.15457979897143873	83.78	0.02	50	314	10	1042
1	0	0.11792099141441437	0.03149278990468875	0.07115443083684564	0.18292825716898703	64.08	0.0	50	314	10	1042
1	1	0.13101109318787635	0.039555137241051926	0.06970969988343106	0.2134275021198613	39.06	0.12	50	314	10	1042
1	2	0.10997373511617915	0.027628551585661347	0.07143995469455168	0.1709388652156557	83.24	0.02	50	314	10	1042
1	3	0.12306965287972432	0.03317753041036554	0.0706411594511507	0.19294004519734628	48.4	0.02	50	314	10	1042
1	4	0.11231491893917477	0.03083850643567353	0.0683962121209809	0.17915321547601307	77.5	0.0	50	314	10	1042
1	5	0.11821090580338131	0.033016073047673025	0.0706638907894165	0.18724491638541352	61.9	0.02	50	314	10	1042
1	6	0.14739418731118265	0.04439258864960667	0.07796610292328811	0.23203914935237943	16.44	0.36	50	314	10	1042
1	7	0.10907455793972812	0.028077804343310486	0.06973216325871463	0.17259622791759976	86.58	0.0	50	314	10	1042
2	0	0.12971451045337282	0.040093377504485425	0.07232020036559406	0.21619312262828558	45.0	0.06	50	314	10	1042
2	1	0.13776623860813017	0.04219147519722228	0.07552566819029684	0.24136599998652356	25.9	0.18	50	314	10	1042
2	2	0.1390644324228732	0.03969967735264901	0.07132905352973909	0.2184423511784406	26.44	0.22	50	314	10	1042
2	3	0.1541998006081774	0.04839701198274043	0.08357323292887435	0.2591795283687074	10.04	0.58	50	314	10	1042
2	4	0.12387994308515421	0.03551766140368688	0.07058269999045777	0.1871146150564868	49.16	0.02	50	314	10	1042
2	5	0.1074207420426411	0.027524089325479863	0.06846369258642382	0.16963239925469173	90.28	0.0	50	314	10	1042
2	6	0.12641491491174078	0.037197762098041126	0.07179997101351851	0.20176706696057217	49.36	0.0	50	314	10	1042
2	7	0.1135071751839913	0.030918429170759983	0.06759172739199405	0.1784846775742403	76.4	0.0	50	314	10	1042
3	0	0.1174922110800572	0.03171765138805382	0.07175008361394802	0.18574404551976062	65.18	0.0	50	314	10	1042
3	1	0.12341503385750231	0.0322655325990498	0.0700329874576531	0.18669191388482545	49.28	0.02	50	314	10	1042
3	2	0.15522595014411236	0.05244708997642491	0.07795160524326537	0.2823016561742126	13.04	0.62	50	314	10	1042
3	3	0.13790464994294208	0.039936559783124236	0.07320002835764014	0.2222617640244414	23.34	0.16	50	314	10	1042
3	4	0.13768652557625133	0.03939035324601992	0.07700534991672076	0.22379260300948683	23.8	0.2	50	314	10	1042
3	5	0.12096500442625019	0.03344536715025105	0.06922557263561627	0.19051767447446374	59.8	0.0	50	314	10	1042
3	6	0.11770612647638652	0.030480446357928046	0.071970780921319	0.177571793466672	67.3	0.0	50	314	10	1042
3	7	0.13984329023448944	0.04180413649569124	0.0751081805364122	0.22443857872622902	21.32	0.24	50	314	10	1042
4	0	0.13152534034578173	0.04049598682660837	0.0742718111207791	0.22366016018276627	38.58	0.08	50	314	10	1042
4	1	0.12494930027242825	0.0352487717421677	0.07049171980894473	0.19328376997469857	49.2	0.0	50	314	10	1042
4	2	0.1112458982624836	0.028457690919126165	0.06782092528599593	0.17066155885557838	79.34	0.0	50	314	10	1042
4	3	0.179588618879094	0.058320229180094815	0.09219794887040589	0.3170763925748666	3.98	0.92	50	314	10	1042
4	4	0.12656134614260034	0.03624042453860615	0.07447561322301398	0.20076878117487967	43.26	0.08	50	314	10	1042
4	5	0.12733681672445407	0.035657244826534554	0.06920231289118547	0.19541848100525286	42.36	0.02	50	314	10	1042
4	6	0.11680430922267139	0.03047303505373726	0.06955682495180608	0.1803654858594177	67.18	0.0	50	314	10	1042
4	7	0.11730818611646908	0.03268322638373092	0.0702339437853155	0.18435992019360362	62.88	0.0	50	314	10	1042
5	0	0.12164860847887554	0.0328374061125714	0.07124862145938242	0.19333631025984996	58.44	0.0	50	314	10	1042
5	1	0.10993999507768638	0.02829902827737047	0.06897642006706206	0.17720252732198685	84.26	0.0	50	314	10	1042
5	2	0.12981428167707412	0.03584652011572474	0.07433276684499991	0.214506243582687	38.1	0.06	50	314	10	1042
5	3	0.13531334491303615	0.03734320233248234	0.07508031306752595	0.21109729546763076	25.9	0.12	50	314	10	1042
5	4	0.12233072200636103	0.03370663011336966	0.07026849367438485	0.1934781884243229	56.86	0.0	50	314	10	1042
5	5	0.11727852955952325	0.03302659016978351	0.06928156765876772	0.19299541213075935	63.62	0.0	50	314	10	1042
5	6	0.1066638774894641	0.027271762844588907	0.0662173090263755	0.1705840959502335	90.92	0.0	50	314	10	1042
5	7	0.14840681325633753	0.04609684739903946	0.0826838157270899	0.24813893135238907	14.08	0.52	50	314	10	1042
6	0	0.11129394148402642	0.028310724048065894	0.070684611432723	0.17459147785450452	80.86	0.0	50	314	10	1042
6	1	0.11400704921950729	0.030173705147376252	0.06678198845327277	0.17571871458194496	73.52	0.0	50	314	10	1042
6	2	0.12560411363726748	0.03516848239334269	0.07141974824115323	0.19789493354979015	48.74	0.02	50	314	10	1042
6	3	0.1485241617166475	0.045095595553109574	0.07748989760749643	0.26160001330476806	13.78	0.5	50	314	10	1042
6	4	0.12347282518901702	0.036679568670839754	0.07109755542993225	0.2121466764015422	48.54	0.02	50	314	10	1042
6	5	0.1414320063315775	0.04611101533173641	0.07039258271142347	0.2219268465480602	31.34	0.3	50	314	10	1042
6	6	0.11488802551566518	0.02961422781331645	0.06994534723471268	0.17969251193549235	69.72	0.0	50	314	10	1042
6	7	0.1474193781873584	0.04394434210514851	0.07865057688687602	0.2324104487387663	14.0	0.4	50	314	10	1042
7	0	0.11787709301214955	0.03076493341760546	0.06759964615637187	0.1878313578038945	63.82	0.0	50	314	10	1042
7	1	0.12066606868599095	0.03458434037719605	0.0689771343286566	0.1938338770450638	55.74	0.0	50	314	10	1042
7	2	0.12269529421192528	0.03392420799012441	0.07214386238501534	0.19877067892557537	49.66	0.0	50	314	10	1042
7	3	0.13852161482734812	0.042703528731157896	0.07431338952122295	0.22181823535836656	27.66	0.16	50	314	10	1042
7	4	0.11572349867427859	0.030411787883931042	0.07149389730996858	0.18338640712446058	69.46	0.0	50	314	10	1042
7	5	0.12067297212593012	0.0321804534949158	0.07283798945357473	0.19900138699278205	55.66	0.0	50	314	10	1042
7	6	0.12256734752903356	0.03415506618545616	0.072761135623456	0.18985864408420755	58.06	0.0	50	314	10	1042
7	7	0.14454475302329572	0.04256624337337541	0.07617212548492029	0.23317343328186038	20.12	0.38	50	314	10	1042
8	0	0.11464786216535193	0.030128215272738713	0.07491179721295373	0.181988313949378	68.9	0.0	50	314	10	1042
8	1	0.1778797983467152	0.060191734801705594	0.08533092606215642	0.30750722362348554	6.92	0.84	50	314	10	1042
8	2	0.12597848662512184	0.03627134153231078	0.07352512534192322	0.2144769751417819	44.0	0.08	50	314	10	1042
8	3	0.12203130682241184	0.032583763586301634	0.07116448037584547	0.19416169311216452	54.62	0.0	50	314	10	1042
8	4	0.11847303889620094	0.03179497933004067	0.07139201510187758	0.18784231936092777	62.44	0.0	50	314	10	1042
8	5	0.1257375124242577	0.03438507502942521	0.07397018874490126	0.19470832715653746	41.62	0.02	50	314	10	1042
8	6	0.1292191575885785	0.036098154176378364	0.0730636929368555	0.19898804084066446	40.74	0.02	50	314	10	1042
8	7	0.11598370006702527	0.030286056392456507	0.0734872161874765	0.1851530787148655	66.16	0.0	50	314	10	1042
9	0	0.12113846183556738	0.032453910360288045	0.07336881609819794	0.18903229138422928	56.5	0.0	50	314	10	1042
9	1	0.14743839790298077	0.05014078704496063	0.074433703193404	0.2571617063803048	19.1	0.4	50	314	10	1042
9	2	0.11807472764775864	0.03147094563667951	0.07438654402246866	0.1872289570095768	57.94	0.0	50	314	10	1042
9	3	0.12133105682366181	0.03261796119827235	0.07322200799034315	0.20272188969890165	52.76	0.0	50	314	10	1042
9	4	0.1268548591786037	0.035610783633734995	0.07513696668236487	0.1967657602284787	44.1	0.06	50	314	10	1042
9	5	0.12363109684712512	0.03337530135664877	0.07150758147098399	0.20178264655743333	47.62	0.0	50	314	10	1042
9	6	0.135995254424764	0.03896017162228058	0.07298334905323926	0.21242659945463663	27.16	0.1	50	314	10	1042
9	7	0.13249880726175897	0.03824666644240397	0.06979410062251419	0.20611771700080334	34.54	0.02	50	314	10	1042
10	0	0.12230069528133951	0.03450495754108463	0.07286662468614644	0.21011249151584163	52.9	0.02	50	314	10	1042
10	1	0.1318671269760393	0.03738568323406895	0.08206755604311712	0.21897606129087532	31.82	0.16	50	314	10	1042
10	2	0.138613369798919	0.044513238813136076	0.0705447695383413	0.21873672032343297	33.66	0.22	50	314	10	1042
10	3	0.1287959685576313	0.038917206178224896	0.07174733616041269	0.21693849539295096	47.14	0.06	50	314	10	1042
10	4	0.12924005071797492	0.03525941965480638	0.07317823946099958	0.20973438263647626	33.48	0.02	50	314	10	1042
10	5	0.12840139508069323	0.03969653548399532	0.07169222925251885	0.22933926342621266	41.32	0.12	50	314	10	1042
10	6	0.12265897185371237	0.034777492763981364	0.06751475672649175	0.1887688882375019	56.3	0.0	50	314	10	1042
10	7	0.12241891801824949	0.03279154314160917	0.0713274754154456	0.1889858527429102	49.56	0.0	50	314	10	1042
11	0	0.12741425160807487	0.035306227809333346	0.073431572307432	0.19678800053402318	45.64	0.0	50	314	10	1042
11	1	0.13302669382120205	0.041167132226463975	0.07211226986876143	0.20902153403811194	39.08	0.08	50	314	10	1042
11	2	0.11486915963557777	0.031762322321003435	0.06798439570972008	0.18182682491460475	70.96	0.0	50	314	10	1042
11	3	0.12845950453319135	0.035751689828318035	0.07492861681300121	0.2085942032309984	38.56	0.06	50	314	10	1042
11	4	0.13173606471688093	0.03702630969281444	0.07453312107323473	0.20390415426449077	32.98	0.04	50	314	10	1042
11	5	0.12235309255755128	0.03386953394835418	0.07399467337585157	0.18740298300277522	53.94	0.0	50	314	10	1042
11	6	0.12623158340568041	0.03418449080758077	0.07286203835437521	0.1984760088739036	41.46	0.0	50	314	10	1042
11	7	0.14593339288640925	0.044141547847641724	0.07425130142653233	0.2261883000211119	16.68	0.3	50	314	10	1042
