source	target
ETS1	BAX
ETS1	CSNK2B
ETS1	EGR1
ETS1	MYB
ETS1	PARP1
ETS1	RHOC
ETS1	TAF12
EGR1	CCND2
EGR1	GDF15
EGR1	GGPS1
EGR1	IMPDH2
EGR1	MYB
EGR1	SOD1
EGR1	STMN1
EGR1	TMPO
EGR1	UBE2S
EGR1	VEGFA
