mode	candidate_pairs	candidate_pairs_vs_strict	candidate_positives	candidate_positive_rate	positive_rate_vs_strict	evaluated_pairs	top_head	top_head_aupr	aggregate_aupr	delta_aupr	pred_edges_top_head
strict	314	1.0	30	0.0955414012738853	1.0	314	8:1	0.1905021787347632	0.1096453898386211	0.08085678889614209	314
source_only	13189	42.003184713375795	30	0.0022746227917203	0.02380771855333915	13189	0:6	0.012862583629924	0.004250257998333	0.008612325631591	550
expanded	1438800	4582.165605095542	30	2.085070892410342e-05	0.00021823742007228257	50000	0:6	0.0045570905813645	0.0013966586111741	0.0031604319701903994	59998
