layer	head	head_id	n_thresholds_tested	n_thresholds_significant	min_q_value	max_odds_ratio	mean_odds_ratio	mean_high_conf_fraction	max_high_conf_fraction
0	7	0:7	4	2	1.3397652572436e-05	3.0135424091233074	2.0150322067765383	0.22087378640776698	0.4077669902912621
0	2	0:2	4	1	0.06179263763306657	2.228102189781022	1.778764727686461	0.1864406779661017	0.2711864406779661
0	1	0:1	4	0	0.3311160027294336	2.155780022446689	1.6841080009539389	0.1761744966442953	0.26174496644295303
0	3	0:3	4	0	0.3860756169646837	1.4946869505389497	1.4047466353101656	0.15880503144654087	0.23270440251572327
0	4	0:4	4	0	0.44357595207412065	1.471444568868981	1.2916713143984897	0.1571969696969697	0.25
6	6	6:6	4	0	0.458301392437043	3.8384615384615386	2.5261388434260774	0.22916666666666666	0.25
0	5	0:5	4	0	0.458301392437043	1.5448275862068965	1.437474657819733	0.16326530612244897	0.24489795918367346
7	6	7:6	4	0	0.6873314960082552	2.6815286624203822	2.117529427130427	0.225	0.4
0	6	0:6	4	0	0.6991501046211895	1.7426381605486083	1.3861199610441157	0.15753424657534246	0.2465753424657534
5	7	5:7	4	0	0.9086614863530319	1.2526315789473683	0.7829711589580011	0.11016949152542373	0.23728813559322035
5	4	5:4	4	0	1.0	2.2473604826546003	1.2785206216348748	0.13157894736842105	0.15789473684210525
1	2	1:2	4	0	1.0	1.063563829787234	0.9784596852187633	0.11842105263157894	0.15789473684210525
7	0	7:0	4	0	1.0	1.3865752082312592	0.8137799850838283	0.11666666666666667	0.2
0	0	0:0	4	0	1.0	1.0213559322033898	0.8056486734145953	0.11061946902654868	0.20353982300884957
1	6	1:6	4	0	1.0	1.5031847133757963	0.7775921091170307	0.10714285714285714	0.14285714285714285
9	3	9:3	4	0	1.0	0.8544303797468354	0.6549949561787526	0.07608695652173914	0.08695652173913043
10	3	10:3	4	0	1.0	0.4997021327296557	0.42642276092867026	0.05803571428571429	0.08035714285714286
1	1	1:1	4	0	1.0	0.997626582278481	0.4064624355368026	0.07500000000000001	0.2
2	6	2:6	4	0	1.0	0.52	0.37324544650481467	0.058823529411764705	0.11764705882352941
5	0	5:0	4	0	1.0	0.5932203389830508	0.3637947582967287	0.05952380952380952	0.09523809523809523
3	3	3:3	4	0	1.0	0.3515295358649789	0.14964303065394188	0.029411764705882353	0.058823529411764705
10	7	10:7	4	0	1.0	0.4416403785488959	0.11041009463722397	0.025	0.1
3	7	3:7	4	0	1.0	0.2637223974763407	0.06593059936908517	0.015625	0.0625
6	1	6:1	4	0	1.0	0.2637223974763407	0.06593059936908517	0.015625	0.0625
1	7	1:7	4	0	1.0	0.1874718341595313	0.04686795853988283	0.011363636363636364	0.045454545454545456
2	0	2:0	4	0	1.0	0.0	0.0	0.0	0.0
2	2	2:2	4	0	1.0	0.0	0.0	0.0	0.0
2	3	2:3	4	0	1.0	0.0	0.0	0.0	0.0
5	1	5:1	4	0	1.0	0.0	0.0	0.0	0.0
