source	target	edge_score	max_head_layer_score	top_head_layers
MAL	PDCL3P2	0.1221655085682869	0.98046875	"[{""layer"": 0, ""head"": 5, ""score"": 0.98046875}, {""layer"": 0, ""head"": 2, ""score"": 0.93310546875}, {""layer"": 0, ""head"": 7, ""score"": 0.7109375}, {""layer"": 0, ""head"": 1, ""score"": 0.53125}, {""layer"": 1, ""head"": 2, ""score"": 0.417236328125}]"
SOX6	SPINK5	0.1115263924002647	0.71044921875	"[{""layer"": 0, ""head"": 7, ""score"": 0.71044921875}, {""layer"": 0, ""head"": 1, ""score"": 0.499755859375}, {""layer"": 0, ""head"": 2, ""score"": 0.498779296875}, {""layer"": 0, ""head"": 0, ""score"": 0.32080078125}, {""layer"": 0, ""head"": 4, ""score"": 0.249755859375}]"
SOX6	PCAT5	0.1008195504546165	0.78369140625	"[{""layer"": 0, ""head"": 3, ""score"": 0.78369140625}, {""layer"": 5, ""head"": 7, ""score"": 0.21337890625}, {""layer"": 1, ""head"": 2, ""score"": 0.1861572265625}, {""layer"": 1, ""head"": 3, ""score"": 0.182373046875}, {""layer"": 5, ""head"": 5, ""score"": 0.1749267578125}]"
PBX1	OSBP2	0.0980586484074592	0.8974609375	"[{""layer"": 0, ""head"": 0, ""score"": 0.8974609375}, {""layer"": 0, ""head"": 7, ""score"": 0.5712890625}, {""layer"": 0, ""head"": 2, ""score"": 0.466064453125}, {""layer"": 0, ""head"": 3, ""score"": 0.353271484375}, {""layer"": 1, ""head"": 2, ""score"": 0.2332763671875}]"
SOX6	GABRA2	0.0936768427491188	0.37890625	"[{""layer"": 5, ""head"": 4, ""score"": 0.37890625}, {""layer"": 9, ""head"": 5, ""score"": 0.181884765625}, {""layer"": 4, ""head"": 1, ""score"": 0.152099609375}, {""layer"": 7, ""head"": 0, ""score"": 0.1519775390625}, {""layer"": 6, ""head"": 1, ""score"": 0.151611328125}]"
SOX6	SP9	0.0920908227562904	0.2069091796875	"[{""layer"": 0, ""head"": 6, ""score"": 0.2069091796875}, {""layer"": 2, ""head"": 5, ""score"": 0.185302734375}, {""layer"": 5, ""head"": 1, ""score"": 0.1849365234375}, {""layer"": 1, ""head"": 5, ""score"": 0.1756591796875}, {""layer"": 5, ""head"": 7, ""score"": 0.1590576171875}]"
SOX6	RP11-478H12.2	0.0892927944660186	0.322021484375	"[{""layer"": 10, ""head"": 3, ""score"": 0.322021484375}, {""layer"": 2, ""head"": 0, ""score"": 0.2216796875}, {""layer"": 5, ""head"": 0, ""score"": 0.1737060546875}, {""layer"": 5, ""head"": 2, ""score"": 0.1533203125}, {""layer"": 3, ""head"": 0, ""score"": 0.1475830078125}]"
SOX6	AC005730.2	0.0876941159367561	0.2447509765625	"[{""layer"": 0, ""head"": 6, ""score"": 0.2447509765625}, {""layer"": 2, ""head"": 6, ""score"": 0.201416015625}, {""layer"": 3, ""head"": 6, ""score"": 0.1834716796875}, {""layer"": 1, ""head"": 6, ""score"": 0.161865234375}, {""layer"": 1, ""head"": 1, ""score"": 0.1490478515625}]"
MAL	RP11-67L17.1	0.086770474910736	0.223388671875	"[{""layer"": 1, ""head"": 2, ""score"": 0.223388671875}, {""layer"": 5, ""head"": 7, ""score"": 0.211181640625}, {""layer"": 1, ""head"": 1, ""score"": 0.2071533203125}, {""layer"": 0, ""head"": 3, ""score"": 0.2066650390625}, {""layer"": 0, ""head"": 0, ""score"": 0.2005615234375}]"
MAL	RP11-15E1.5	0.0843945145606994	0.37255859375	"[{""layer"": 0, ""head"": 1, ""score"": 0.37255859375}, {""layer"": 1, ""head"": 3, ""score"": 0.26953125}, {""layer"": 5, ""head"": 3, ""score"": 0.2371826171875}, {""layer"": 1, ""head"": 1, ""score"": 0.2181396484375}, {""layer"": 0, ""head"": 3, ""score"": 0.1990966796875}]"
SOX6	OR10K1	0.0835444703698158	0.48388671875	"[{""layer"": 0, ""head"": 1, ""score"": 0.48388671875}, {""layer"": 2, ""head"": 0, ""score"": 0.251220703125}, {""layer"": 0, ""head"": 0, ""score"": 0.228759765625}, {""layer"": 2, ""head"": 5, ""score"": 0.173095703125}, {""layer"": 5, ""head"": 2, ""score"": 0.171630859375}]"
MAL	NATD1	0.0831300094723701	0.9794921875	"[{""layer"": 0, ""head"": 1, ""score"": 0.9794921875}, {""layer"": 0, ""head"": 5, ""score"": 0.74462890625}, {""layer"": 0, ""head"": 0, ""score"": 0.6630859375}, {""layer"": 1, ""head"": 1, ""score"": 0.211181640625}, {""layer"": 2, ""head"": 6, ""score"": 0.1854248046875}]"
MAL	IGKV3-11	0.081453338265419	0.1612548828125	"[{""layer"": 0, ""head"": 3, ""score"": 0.1612548828125}, {""layer"": 8, ""head"": 3, ""score"": 0.1492919921875}, {""layer"": 6, ""head"": 3, ""score"": 0.1405029296875}, {""layer"": 2, ""head"": 3, ""score"": 0.1334228515625}, {""layer"": 7, ""head"": 4, ""score"": 0.1285400390625}]"
PBX1	C2orf88	0.0814451277256012	0.232666015625	"[{""layer"": 0, ""head"": 3, ""score"": 0.232666015625}, {""layer"": 5, ""head"": 0, ""score"": 0.17578125}, {""layer"": 5, ""head"": 2, ""score"": 0.160888671875}, {""layer"": 5, ""head"": 3, ""score"": 0.140625}, {""layer"": 2, ""head"": 3, ""score"": 0.137939453125}]"
MXI1	XGY1	0.0812591090798378	0.93798828125	"[{""layer"": 0, ""head"": 5, ""score"": 0.93798828125}, {""layer"": 0, ""head"": 2, ""score"": 0.8359375}, {""layer"": 0, ""head"": 7, ""score"": 0.439453125}, {""layer"": 3, ""head"": 6, ""score"": 0.16650390625}, {""layer"": 4, ""head"": 6, ""score"": 0.1099853515625}]"
NCOA4	CTD-2542L18.1	0.0793882682919502	0.8818359375	"[{""layer"": 0, ""head"": 3, ""score"": 0.8818359375}, {""layer"": 0, ""head"": 1, ""score"": 0.55029296875}, {""layer"": 1, ""head"": 2, ""score"": 0.1561279296875}, {""layer"": 1, ""head"": 1, ""score"": 0.1480712890625}, {""layer"": 2, ""head"": 6, ""score"": 0.1348876953125}]"
MAL	CTD-2542L18.1	0.0781084075570106	0.84375	"[{""layer"": 0, ""head"": 3, ""score"": 0.84375}, {""layer"": 0, ""head"": 1, ""score"": 0.474609375}, {""layer"": 0, ""head"": 0, ""score"": 0.355224609375}, {""layer"": 1, ""head"": 0, ""score"": 0.194091796875}, {""layer"": 1, ""head"": 1, ""score"": 0.1739501953125}]"
MAL	CTA-392E5.1	0.0728728100657463	0.78369140625	"[{""layer"": 0, ""head"": 3, ""score"": 0.78369140625}, {""layer"": 0, ""head"": 0, ""score"": 0.429931640625}, {""layer"": 1, ""head"": 1, ""score"": 0.207275390625}, {""layer"": 5, ""head"": 7, ""score"": 0.1903076171875}, {""layer"": 1, ""head"": 2, ""score"": 0.157958984375}]"
MAL	SLC38A5	0.0709267631173133	0.685546875	"[{""layer"": 0, ""head"": 5, ""score"": 0.685546875}, {""layer"": 0, ""head"": 3, ""score"": 0.5361328125}, {""layer"": 0, ""head"": 0, ""score"": 0.2454833984375}, {""layer"": 2, ""head"": 5, ""score"": 0.2286376953125}, {""layer"": 2, ""head"": 0, ""score"": 0.2266845703125}]"
MAL	CCL4	0.0657266761575426	0.2935267857142857	"[{""layer"": 0, ""head"": 4, ""score"": 0.2935267857142857}, {""layer"": 7, ""head"": 0, ""score"": 0.2177734375}, {""layer"": 2, ""head"": 6, ""score"": 0.201171875}, {""layer"": 6, ""head"": 6, ""score"": 0.20005580357142858}, {""layer"": 8, ""head"": 7, ""score"": 0.19503348214285715}]"
NCOA4	TRAV25	0.0655170083045959	1.0	"[{""layer"": 0, ""head"": 2, ""score"": 1.0}, {""layer"": 0, ""head"": 7, ""score"": 0.99462890625}, {""layer"": 2, ""head"": 6, ""score"": 0.1573486328125}, {""layer"": 0, ""head"": 5, ""score"": 0.15234375}, {""layer"": 1, ""head"": 6, ""score"": 0.1181640625}]"
