quantile	quantile_label	edge_score_threshold	layer	head	head_id	n_edges_nonzero	high_conf_edges	high_conf_fraction	odds_ratio_high_vs_rest	p_value_high_enriched	q_value_high_enriched	significant_q_lt_0_10
0.8	top20%	0.0339560449123382	0	7	0:7	103	42	0.4077669902912621	3.0135424091233074	4.6198801973917244e-07	1.3397652572436e-05	True
0.8	top20%	0.0339560449123382	0	2	0:2	118	32	0.2711864406779661	1.5391120507399578	0.03329152673972146	0.3311160027294336	False
0.8	top20%	0.0339560449123382	0	1	0:1	149	39	0.26174496644295303	1.4728250244379277	0.03425337959270003	0.3311160027294336	False
0.8	top20%	0.0339560449123382	0	4	0:4	132	33	0.25	1.368421052631579	0.08699172066857107	0.6306899748471403	False
0.8	top20%	0.0339560449123382	7	6	7:6	10	4	0.4	2.6815286624203822	0.12087208783674759	0.6873314960082552	False
0.8	top20%	0.0339560449123382	0	5	0:5	98	24	0.24489795918367346	1.3182570325427467	0.15697852857682393	0.6873314960082552	False
0.8	top20%	0.0339560449123382	0	3	0:3	159	37	0.23270440251572327	1.2379382766466367	0.16590760248475125	0.6873314960082552	False
0.8	top20%	0.0339560449123382	0	6	0:6	73	18	0.2465753424657534	1.3243636363636364	0.1928689943782592	0.6991501046211895	False
0.8	top20%	0.0339560449123382	5	7	5:7	59	14	0.23728813559322035	1.2526315789473683	0.2819983923164582	0.9086614863530319	False
0.8	top20%	0.0339560449123382	6	6	6:6	12	3	0.25	1.3333333333333333	0.44322190190852195	1.0	False
0.8	top20%	0.0339560449123382	0	0	0:0	113	23	0.20353982300884957	1.0213559322033898	0.5054897278235985	1.0	False
0.8	top20%	0.0339560449123382	1	1	1:1	10	2	0.2	0.997626582278481	0.6260965051629359	1.0	False
0.8	top20%	0.0339560449123382	7	0	7:0	15	3	0.2	0.9976190476190476	0.6043492131477437	1.0	False
0.8	top20%	0.0339560449123382	1	2	1:2	19	3	0.15789473684210525	0.7458333333333333	0.7660055393623048	1.0	False
0.8	top20%	0.0339560449123382	5	4	5:4	19	3	0.15789473684210525	0.7458333333333333	0.7660055393623048	1.0	False
0.8	top20%	0.0339560449123382	1	6	1:6	14	2	0.14285714285714285	0.6629746835443038	0.8042960820636721	1.0	False
0.8	top20%	0.0339560449123382	2	6	2:6	68	8	0.11764705882352941	0.52	0.9769616769001757	1.0	False
0.8	top20%	0.0339560449123382	10	7	10:7	10	1	0.1	0.4416403785488959	0.8938922514651575	1.0	False
0.8	top20%	0.0339560449123382	5	0	5:0	21	2	0.09523809523809523	0.4163890739506995	0.9439490551291926	1.0	False
0.8	top20%	0.0339560449123382	9	3	9:3	23	2	0.08695652173913043	0.37613019891500904	0.9614992224015203	1.0	False
0.8	top20%	0.0339560449123382	10	3	10:3	112	9	0.08035714285714286	0.32972004901498725	0.9999111737177032	1.0	False
0.8	top20%	0.0339560449123382	3	7	3:7	16	1	0.0625	0.2637223974763407	0.9725927669233053	1.0	False
0.8	top20%	0.0339560449123382	6	1	6:1	16	1	0.0625	0.2637223974763407	0.9725927669233053	1.0	False
0.8	top20%	0.0339560449123382	3	3	3:3	17	1	0.058823529411764705	0.24704258675078863	0.9781405072914714	1.0	False
0.8	top20%	0.0339560449123382	1	7	1:7	22	1	0.045454545454545456	0.1874718341595313	0.9929618365913304	1.0	False
0.8	top20%	0.0339560449123382	2	0	2:0	11	0	0.0	0.0	1.0	1.0	False
0.8	top20%	0.0339560449123382	2	2	2:2	13	0	0.0	0.0	1.0	1.0	False
0.8	top20%	0.0339560449123382	2	3	2:3	16	0	0.0	0.0	1.0	1.0	False
0.8	top20%	0.0339560449123382	5	1	5:1	13	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03656200146675104	0	7	0:7	103	27	0.2621359223300971	2.1433649289099526	0.0015406684023765904	0.04467938366892112	True
0.85	top15%	0.03656200146675104	0	1	0:1	149	31	0.2080536912751678	1.5623106525833128	0.028017141743827342	0.3860756169646837	False
0.85	top15%	0.03656200146675104	0	3	0:3	159	32	0.20125786163522014	1.4946869505389497	0.03993885692738107	0.3860756169646837	False
0.85	top15%	0.03656200146675104	0	2	0:2	118	24	0.2033898305084746	1.4973155696957645	0.06377213430355334	0.44357595207412065	False
0.85	top15%	0.03656200146675104	0	4	0:4	132	26	0.19696969696969696	1.4381452474190104	0.07647861242657253	0.44357595207412065	False
0.85	top15%	0.03656200146675104	0	5	0:5	98	19	0.19387755102040816	1.3947170683775505	0.13436183367575336	0.6494155294328079	False
0.85	top15%	0.03656200146675104	0	6	0:6	73	14	0.1917808219178082	1.3665254237288136	0.19300286830006758	0.7995833115288514	False
0.85	top15%	0.03656200146675104	6	6	6:6	12	3	0.25	1.900709219858156	0.26369080848124726	0.9558791807445213	False
0.85	top15%	0.03656200146675104	7	6	7:6	10	2	0.2	1.4205508474576272	0.4559907760555467	1.0	False
0.85	top15%	0.03656200146675104	1	2	1:2	19	3	0.15789473684210525	1.063563829787234	0.5596038085189515	1.0	False
0.85	top15%	0.03656200146675104	5	4	5:4	19	3	0.15789473684210525	1.063563829787234	0.5596038085189515	1.0	False
0.85	top15%	0.03656200146675104	1	6	1:6	14	2	0.14285714285714285	0.9442090395480226	0.6443736974999279	1.0	False
0.85	top15%	0.03656200146675104	7	0	7:0	15	2	0.13333333333333333	0.8709256844850065	0.6826198403779322	1.0	False
0.85	top15%	0.03656200146675104	0	0	0:0	113	15	0.13274336283185842	0.8586528781916354	0.7431803142918347	1.0	False
0.85	top15%	0.03656200146675104	5	7	5:7	59	7	0.11864406779661017	0.7558275058275058	0.806021297760287	1.0	False
0.85	top15%	0.03656200146675104	1	1	1:1	10	1	0.1	0.6282231598687295	0.804039688149041	1.0	False
0.85	top15%	0.03656200146675104	5	0	5:0	21	2	0.09523809523809523	0.5932203389830508	0.8466889756543221	1.0	False
0.85	top15%	0.03656200146675104	9	3	9:3	23	2	0.08695652173913043	0.5359160613397902	0.88132334902368	1.0	False
0.85	top15%	0.03656200146675104	10	3	10:3	112	9	0.08035714285714286	0.4754313816933056	0.9925103406078978	1.0	False
0.85	top15%	0.03656200146675104	2	6	2:6	68	5	0.07352941176470588	0.43804073846992303	0.9835088020673477	1.0	False
0.85	top15%	0.03656200146675104	3	3	3:3	17	1	0.058823529411764705	0.3515295358649789	0.9378015903359784	1.0	False
0.85	top15%	0.03656200146675104	1	7	1:7	22	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03656200146675104	2	0	2:0	11	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03656200146675104	2	2	2:2	13	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03656200146675104	2	3	2:3	16	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03656200146675104	3	7	3:7	16	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03656200146675104	5	1	5:1	13	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03656200146675104	6	1	6:1	16	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03656200146675104	10	7	10:7	10	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.039851360293951844	0	2	0:2	118	22	0.1864406779661017	2.228102189781022	0.002130780608036778	0.06179263763306657	True
0.9	top10%	0.039851360293951844	6	6	6:6	12	3	0.25	3.032051282051282	0.11062447403652761	0.458301392437043	False
0.9	top10%	0.039851360293951844	0	7	0:7	103	16	0.1553398058252427	1.7246202073788282	0.045187513416752464	0.458301392437043	False
0.9	top10%	0.039851360293951844	0	1	0:1	149	21	0.14093959731543623	1.5455163043478262	0.05966010936402994	0.458301392437043	False
0.9	top10%	0.039851360293951844	0	5	0:5	98	14	0.14285714285714285	1.5448275862068965	0.10396231021139396	0.458301392437043	False
0.9	top10%	0.039851360293951844	0	4	0:4	132	18	0.13636363636363635	1.471444568868981	0.10091710872785858	0.458301392437043	False
0.9	top10%	0.039851360293951844	0	3	0:3	159	21	0.1320754716981132	1.4224952741020793	0.1042477999268341	0.458301392437043	False
0.9	top10%	0.039851360293951844	7	6	7:6	10	2	0.2	2.261146496815287	0.2645119295412169	0.9588557445869113	False
0.9	top10%	0.039851360293951844	1	6	1:6	14	2	0.14285714285714285	1.5031847133757963	0.41683337458673625	1.0	False
0.9	top10%	0.039851360293951844	7	0	7:0	15	2	0.13333333333333333	1.3865752082312592	0.4526451215133993	1.0	False
0.9	top10%	0.039851360293951844	0	6	0:6	73	8	0.1095890410958904	1.110952623535405	0.4510929158554646	1.0	False
0.9	top10%	0.039851360293951844	1	2	1:2	19	2	0.10526315789473684	1.0573248407643312	0.5822625524913234	1.0	False
