tissue	layer	head	top_head_aupr	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_top_k_freq	aggregate_aupr	candidate_pairs	candidate_positives	candidate_positive_rate	evaluated_pairs	delta_aupr	relative_gain_pct	top_head_bootstrap_ci_width
external_krasnow_lung	4	1	0.1609650243824666	0.0825026567111176	0.260914904429308	0.4	0.1319250813083726	287	31	0.1080139372822299	287	0.029039943074093993	22.012450389333946	0.17841224771819036
immune	0	0	0.5	0.5	0.5	1.0	0.5	2	2	1.0	2	0.0	0.0	0.0
kidney	4	4	0.122697090978024	0.0592680740593308	0.2035593946218197	0.69	0.1141028026718948	896	51	0.0569196428571428	896	0.008594288306129197	7.532057149237839	0.14429132056248892
lung	4	4	0.0881949368322953	0.062279871170263	0.1186510779033661	1.0	0.0547053248389825	2870	133	0.0463414634146341	2870	0.0334896119933128	61.21819419203672	0.0563712067331031
