top_k	n_tissue_pairs	mean_jaccard	median_jaccard	max_jaccard	min_p_value	n_pairs_p_lt_0_05	mean_enrichment_vs_expected	max_enrichment_vs_expected
10	6	0.063353	0.052632	0.111111	0.2784120486669387	0	1.1199999999999999	1.92
25	6	0.16120533333333334	0.1766335	0.219512	0.1461374976866722	0	1.0495999999999999	1.3823999999999999
50	6	0.39068983333333335	0.389157	0.470588	0.012559576239446	1	1.0752	1.2288
