tissue	mean_spearman	mean_jaccard	n_pairs
kidney	0.8596887289166181	0.7008547008547007	6
lung	0.8973261247441378	1.0	6
immune		0.5384615384615384	1
external_krasnow_lung	0.6275023767982288	0.6996891996891996	6
