tissue_a	tissue_b	top_k	intersection	union	jaccard	expected_overlap	p_value	n_heads	overlap_heads
kidney	external_krasnow_lung	50	32	68	0.470588	26.041666666666668	0.01255957623944601	96	0:0,0:1,0:5,0:6,1:3,1:5,1:6,1:7,2:0,2:2,2:4,2:7,3:2,3:4,4:1,4:2,4:4,4:6,5:1,5:4,5:7,6:1,6:5,6:6,6:7,7:1,7:2,8:5,9:2,10:4,10:6,11:5
kidney	immune	50	30	70	0.428571	26.041666666666668	0.07848218517109264	96	0:0,0:1,0:5,0:6,1:3,1:4,1:5,1:6,1:7,2:0,2:1,2:2,2:4,2:6,2:7,3:0,3:1,3:2,3:4,3:6,4:1,4:2,4:4,4:6,5:0,5:1,5:3,5:4,5:7,6:1
immune	external_krasnow_lung	50	29	71	0.408451	26.041666666666668	0.1573765816190765	96	0:0,0:1,0:4,0:5,0:6,1:3,1:5,1:6,1:7,2:0,2:2,2:4,2:7,3:2,3:4,3:5,3:7,4:1,4:2,4:3,4:4,4:5,4:6,5:1,5:4,5:6,5:7,6:0,6:1
lung	external_krasnow_lung	50	27	73	0.369863	26.041666666666668	0.4256799582816191	96	0:1,0:5,0:6,1:3,1:7,2:4,2:7,3:4,3:7,4:1,4:3,4:4,5:1,5:4,5:7,6:0,6:1,6:3,6:5,6:7,7:0,7:2,7:3,8:0,8:2,9:0,10:2
kidney	lung	50	25	75	0.333333	26.041666666666668	0.7356613714789394	96	0:1,0:5,0:6,1:3,1:4,1:7,2:1,2:4,2:7,3:4,4:1,4:4,5:0,5:1,5:3,5:4,5:7,6:1,6:4,6:5,6:7,7:2,7:4,7:7,8:4
lung	immune	50	25	75	0.333333	26.041666666666668	0.7356613714789394	96	0:1,0:5,0:6,1:3,1:4,1:7,2:1,2:4,2:7,3:3,3:4,3:7,4:0,4:1,4:3,4:4,4:7,5:0,5:1,5:2,5:3,5:4,5:7,6:0,6:1
