tissue	layer	head	precision	recall	f1	aupr	aupr_bootstrap_mean	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq
kidney	4	4	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.122697090978024	0.1333829953736977	0.0592680740593308	0.2035593946218197	10.3	0.69
kidney	10	4	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1216591999097319	0.1256534093673191	0.0629736589577903	0.2243220849933828	13.57	0.59
kidney	3	1	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1184352524657701	0.1220633136964384	0.0647925779158353	0.2006246812062713	15.27	0.52
kidney	3	4	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1181579416246368	0.1203848725822793	0.0709854085310466	0.1795427016472117	11.21	0.63
kidney	7	4	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1185948069234273	0.1181692176935008	0.0654963578410914	0.1932748395894408	12.87	0.6
kidney	2	4	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1133503252333307	0.1169928383208883	0.0673972517496067	0.1868915284113327	14.34	0.5
kidney	7	2	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1030765328439614	0.1160775160058585	0.0550267129154933	0.198801159567253	19.9	0.51
kidney	3	0	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1090223750555125	0.1148264357912211	0.0676462177430815	0.1933353961432998	15.51	0.46
kidney	1	7	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1018828408912957	0.1146521810217609	0.060077315895854	0.1845431186092594	17.73	0.44
kidney	7	1	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1131952413133057	0.1146308856637793	0.0630855294772822	0.2104296016964128	17.16	0.47
lung	4	4	0.058	0.6444444444444445	0.1064220183486238	0.0881949368322953	0.0893339174794467	0.062279871170263	0.1186510779033661	1.68	1.0
lung	0	6	0.05	0.5555555555555556	0.091743119266055	0.0785923370764778	0.0798182732477427	0.0585737364933869	0.1159885001152745	5.54	0.86
lung	3	7	0.0586666666666666	0.6518518518518519	0.1076452599388379	0.0739400525853491	0.0756481525168673	0.055044009926699	0.1046537046303116	5.98	0.87
lung	5	7	0.058	0.6444444444444445	0.1064220183486238	0.0725943738107186	0.073000695498482	0.0535594346019718	0.0945931997406941	6.54	0.83
lung	4	3	0.0546666666666666	0.6074074074074074	0.1003058103975535	0.0683995980551282	0.0703824904479456	0.0507174548765946	0.0972170594192042	11.34	0.69
lung	5	0	0.0493333333333333	0.5481481481481482	0.0905198776758409	0.0673232041738613	0.0694458244750213	0.0523921650915901	0.0927457988688192	10.39	0.65
