tissue	layer	head	precision	recall	f1	aupr	aupr_bootstrap_mean	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq
lung	4	7	0.0586666666666666	0.6518518518518519	0.1076452599388379	0.0663095198996326	0.0681062310537025	0.0545902733911096	0.0886500820474778	12.21	0.54
lung	6	3	0.0553333333333333	0.6148148148148148	0.1015290519877675	0.0657974160794363	0.0671110544133069	0.0506792864547762	0.0872300062838055	13.19	0.45
lung	6	0	0.054	0.6	0.0990825688073394	0.0649900548609069	0.0662971811123607	0.0512311981868298	0.0895264625591445	15.62	0.41
lung	1	7	0.0546666666666666	0.6074074074074074	0.1003058103975535	0.0641136311908711	0.0655285248427755	0.0479602444530556	0.0871254069656215	16.94	0.38
immune	0	0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	1.0	1.0
immune	0	1	1.0	1.0	1.0	0.5	0.5	0.5	0.5	69.0	0.0
immune	0	2	1.0	1.0	1.0	0.5	0.5	0.5	0.5	68.0	0.0
immune	0	3	1.0	1.0	1.0	0.5	0.5	0.5	0.5	67.0	0.0
immune	0	4	1.0	1.0	1.0	0.5	0.5	0.5	0.5	66.0	0.0
immune	0	5	1.0	1.0	1.0	0.5	0.5	0.5	0.5	65.0	0.0
immune	0	6	1.0	1.0	1.0	0.5	0.5	0.5	0.5	64.0	0.0
immune	0	7	1.0	1.0	1.0	0.5	0.5	0.5	0.5	63.0	0.0
immune	1	0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	62.0	0.0
immune	1	1	1.0	1.0	1.0	0.5	0.5	0.5	0.5	61.0	0.0
external_krasnow_lung	6	5	0.111913357400722	0.96875	0.2006472491909385	0.1586046429601584	0.1603014912382711	0.0679029677021478	0.2745928598052645	24.42	0.49
external_krasnow_lung	4	1	0.111913357400722	0.96875	0.2006472491909385	0.1609650243824666	0.1530835108861009	0.0825026567111176	0.260914904429308	24.06	0.4
external_krasnow_lung	7	3	0.111913357400722	0.96875	0.2006472491909385	0.141857502892099	0.146980021563686	0.0822514022767059	0.2297472666221961	19.59	0.34
external_krasnow_lung	8	5	0.111913357400722	0.96875	0.2006472491909385	0.1513979623223834	0.1467428704925945	0.0773175961681346	0.2368908109596579	24.86	0.38
external_krasnow_lung	6	6	0.111913357400722	0.96875	0.2006472491909385	0.1423254143944853	0.1457035008759916	0.0750111490693838	0.2523959871352855	31.39	0.35
external_krasnow_lung	3	4	0.111913357400722	0.96875	0.2006472491909385	0.1552896422051996	0.1447237260047718	0.0860356847277314	0.213953552136594	22.05	0.29
external_krasnow_lung	0	1	0.111913357400722	0.96875	0.2006472491909385	0.1471344932866831	0.1432356989463389	0.0765590839664359	0.23034397013259	27.9	0.28
external_krasnow_lung	7	1	0.111913357400722	0.96875	0.2006472491909385	0.1315576976006598	0.142997707284544	0.0828255505776833	0.2282200823030273	26.06	0.3
external_krasnow_lung	2	4	0.111913357400722	0.96875	0.2006472491909385	0.15171204195292	0.1410415633879125	0.0807541230481343	0.2379598875336067	33.47	0.28
external_krasnow_lung	1	3	0.111913357400722	0.96875	0.2006472491909385	0.1429492779708017	0.1403136366589193	0.0733247713385957	0.2292781257214332	31.02	0.27
