tissue	layer	head	precision	recall	f1	aupr	aupr_bootstrap_mean	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq	head_id	q_value_global_bh	observed_aupr	n_edges_all	n_edges_nonzero	nonzero_fraction	mean_edge_score_nonzero	mean_max_head_score_nonzero	zero_fraction_all	high_conf_edges	high_conf_fraction	odds_ratio_high_vs_rest	q_value_high_enriched	significant_high_enriched_q_lt_0_10
external_krasnow_lung	4	1	0.111913357400722	0.96875	0.2006472491909385	0.1609650243824666	0.1530835108861009	0.0825026567111176	0.260914904429308	24.06	0.4	4:1	0.0542740841248303	0.1609650243824666	1291	1291	1.0	0.007797095026982442	0.06310221393564522	0.0	37.0	0.02865995352439969	0.2630787077789703	1.0	False
external_krasnow_lung	6	5	0.111913357400722	0.96875	0.2006472491909385	0.1586046429601584	0.1603014912382711	0.0679029677021478	0.2745928598052645	24.42	0.49	6:5	0.0473821369343756	0.1586046429601584	7	7	1.0	0.006523657922765985	0.05808258056640624	0.0					
external_krasnow_lung	3	4	0.111913357400722	0.96875	0.2006472491909385	0.1552896422051996	0.1447237260047718	0.0860356847277314	0.213953552136594	22.05	0.29	3:4	0.0580431177446101	0.1552896422051996	4	4	1.0	0.0053815711289644	0.04300689697265622	0.0					
external_krasnow_lung	2	4	0.111913357400722	0.96875	0.2006472491909385	0.15171204195292	0.1410415633879125	0.0807541230481343	0.2379598875336067	33.47	0.28	2:4	0.0995024875621889	0.15171204195292	223	223	1.0	0.0064607166667066005	0.04237618895389574	0.0	0.0	0.0	0.0	1.0	False
external_krasnow_lung	8	5	0.111913357400722	0.96875	0.2006472491909385	0.1513979623223834	0.1467428704925945	0.0773175961681346	0.2368908109596579	24.86	0.38	8:5	0.0580431177446101	0.1513979623223834	231	231	1.0	0.007669564391062204	0.0549575893737881	0.0	8.0	0.03463203463203463	0.3223758526924521	1.0	False
external_krasnow_lung	0	1	0.111913357400722	0.96875	0.2006472491909385	0.1471344932866831	0.1432356989463389	0.0765590839664359	0.23034397013259	27.9	0.28	0:1	0.0796019900497512	0.1471344932866831	3645	3645	1.0	0.008561977641064526	0.11776847975714455	0.0	137.0	0.03758573388203018	0.34333288310134014	1.0	False
kidney	4	4	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.122697090978024	0.1333829953736977	0.0592680740593308	0.2035593946218197	10.3	0.69	4:4	0.0124378109452734	0.122697090978024	35	35	1.0	0.008400520674352086	0.07109470912388392	0.0					
kidney	10	4	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1216591999097319	0.1256534093673191	0.0629736589577903	0.2243220849933828	13.57	0.59	10:4	0.0124378109452734	0.1216591999097319	768	768	1.0	0.008761237898700782	0.09559394253624809	0.0	46.0	0.059895833333333336	0.5716171512423059	1.0	False
kidney	7	4	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1185948069234273	0.1181692176935008	0.0654963578410914	0.1932748395894408	12.87	0.6	7:4	0.0124378109452734	0.1185948069234273	238	238	1.0	0.00779845669568206	0.04265081581949186	0.0	3.0	0.012605042016806723	0.11465196453451064	1.0	False
kidney	3	1	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1184352524657701	0.1220633136964384	0.0647925779158353	0.2006246812062713	15.27	0.52	3:1	0.0124378109452734	0.1184352524657701	161	161	1.0	0.006994977207009787	0.039527362325917116	0.0	2.0	0.012422360248447204	0.11304578630022134	1.0	False
