top_k	n_pairs	n_sig_raw_p_lt_0_05	n_sig_global_q_lt_0_10	n_sig_global_q_lt_0_05	min_raw_p	min_global_q	mean_jaccard	mean_enrichment
10	6	0	0	0	0.2784120486669387	0.6641254796177954	0.063353	1.1199999999999999
25	6	0	0	0	0.1461374976866722	0.5665556938286753	0.16120533333333334	1.0495999999999999
50	6	1	0	0	0.012559576239446	0.22607237231002802	0.39068983333333335	1.0752
