dataset	atlas_metric	evidence_set	mean_type	pearson	spearman	evidence_nonzero_heads	atlas_zero_fraction_mean	n_heads	pearson_p_approx	pearson_ci_low	pearson_ci_high	pearson_q_global_bh	pearson_sig_q_lt_0_10	pearson_sig_q_lt_0_05
immune	scores	top_2k	mean_all	-0.3785441576410798	-0.371459576776994	96	0.9640689071011492	96	0.0001222164775471768	-0.5381856922014798	-0.19268133595318324	0.00021727373786164763	True	True
immune	scores	top_2k	mean_nonzero	0.6957873574130511	-0.2648399348887683	96	0.9640689071011492	96	0.0	0.5755942730549871	0.7865526758518944	0.0	True	True
immune	scores	top_10k	mean_all	-0.2894162664830488	-0.2645168861620831	80	0.9640689071011492	80	0.008940609700733626	-0.47869323064691466	-0.07443250690408716	0.011003827323979847	True	True
immune	scores	top_10k	mean_nonzero	0.5498227474301762	-0.1609951895891316	80	0.9640689071011492	80	5.826540760978105e-08	0.3754638979187699	0.6865952641247015	1.5537442029274948e-07	True	True
kidney	scores	top_2k	mean_all	0.2077889761058605	0.1025230602278893	96	0.7533016686130277	96	0.042006598752871493	0.007620491917580817	0.3919468953810637	0.042006598752871493	True	True
kidney	scores	top_2k	mean_nonzero	0.6892785737080731	0.1066603364080304	96	0.7533016686130277	96	4.440892098500626e-16	0.5671702659178329	0.7817359119933124	2.3684757858670005e-15	True	True
kidney	scores	top_10k	mean_all	0.3202126218755557	0.0416386814783336	80	0.7533016686130277	80	0.0035881196505778146	0.10810131516634129	0.5044391359587527	0.004784159534103753	True	True
kidney	scores	top_10k	mean_nonzero	0.5107340164381381	0.045531037387078	80	0.7533016686130277	80	7.55041563493819e-07	0.327802047505531	0.6567522191963698	1.725809287985872e-06	True	True
lung	scores	top_2k	mean_all	-0.3308247126923807	0.1131985892566467	96	0.6253488858122797	96	0.0009162873986481301	-0.4982630116750111	-0.13959768292544958	0.0014660598378370081	True	True
lung	scores	top_2k	mean_nonzero	0.6729222313941436	0.2314704286489419	96	0.6253488858122797	96	3.552713678800501e-15	0.5461132116720941	0.7695826635283527	1.4210854715202004e-14	True	True
lung	scores	top_10k	mean_all	-0.276461725861872	0.0197543867186799	80	0.6253488858122797	80	0.01274750471235242	-0.4677650250329283	-0.06041461341484416	0.014568576814117051	True	True
lung	scores	top_10k	mean_nonzero	0.4455009274157289	0.1386209479318737	80	0.6253488858122797	80	2.6241424658346446e-05	0.25028272585169997	0.6059089799154475	5.248284931669289e-05	True	True
external_krasnow_lung	scores	top_2k	mean_all	-0.2466064693934781	0.0753255561584373	96	0.9232562181123912	96	0.015172483155237337	-0.4260290555757105	-0.04851937780263669	0.01618398203225316	True	True
external_krasnow_lung	scores	top_2k	mean_nonzero	0.6991946179918153	0.196459576776994	96	0.9232562181123912	96	0.0	0.5800143234990565	0.7890697903041741	0.0	True	True
external_krasnow_lung	scores	top_10k	mean_all	-0.3265114702340147	0.0147052117461479	80	0.9232562181123912	80	0.002939478204104784	-0.5096649580776178	-0.11504813742124785	0.0042756046605160495	True	True
external_krasnow_lung	scores	top_10k	mean_nonzero	0.5672233193096454	0.1375049577762197	80	0.9232562181123912	80	1.6424030357953256e-08	0.39698167218430574	0.6997334519705296	5.255689714545042e-08	True	True
