layer	head	observed_aupr	perm_mean	perm_std	perm_ci_low	perm_ci_high	p_value	permutation_repeats	permutation_pairs	seed	tissue	q_value_bh	significant_p_lt_0_05	significant_q_lt_0_10	aupr_minus_perm_mean	z_like
6	5	0.1586046429601584	0.1123159212029821	0.0196257955595206	0.0857297001004576	0.1511514006839017	0.0248756218905472	200	287	43	external_krasnow_lung	0.08706467661691525	True	True	0.046288721757176285	2.358565369581735
4	1	0.1609650243824666	0.1110912164168681	0.0201354302806325	0.0825522871425181	0.1571792531093068	0.0298507462686567	200	287	43	external_krasnow_lung	0.08706467661691525	True	True	0.049873807965598496	2.4769179138709645
8	5	0.1513979623223834	0.1112440449753612	0.0182206960017777	0.0833374436651346	0.1516316413634812	0.0348258706467661	200	287	43	external_krasnow_lung	0.08706467661691525	True	True	0.0401539173470222	2.2037532124516312
3	4	0.1552896422051996	0.110353367884152	0.0212220728274805	0.0853407336115543	0.1686679485520641	0.0348258706467661	200	287	43	external_krasnow_lung	0.08706467661691525	True	True	0.04493627432104762	2.1174309732298893
0	1	0.1471344932866831	0.1122389029279183	0.0194466499564177	0.0879566220203098	0.1579616943834302	0.0497512437810945	200	287	43	external_krasnow_lung	0.099502487562189	True	True	0.0348955903587648	1.7944268260584755
2	4	0.15171204195292	0.1158745095232924	0.0243086114100905	0.0839379353245199	0.173145370931135	0.0646766169154228	200	287	43	external_krasnow_lung	0.099502487562189	False	True	0.03583753242962762	1.4742731217773906
1	3	0.1429492779708017	0.1110789427060149	0.0186721811556253	0.0834564179518522	0.1534104661471273	0.0746268656716417	200	287	43	external_krasnow_lung	0.099502487562189	False	True	0.0318703352647868	1.7068351575619403
7	3	0.141857502892099	0.1119679398971573	0.0210643186871808	0.0847320333884023	0.1717022401279852	0.0796019900497512	200	287	43	external_krasnow_lung	0.099502487562189	False	True	0.029889562994941707	1.4189665205327398
7	1	0.1315576976006598	0.1119332526793377	0.0195713167743757	0.0873252178771072	0.1647551127415423	0.1293532338308457	200	287	43	external_krasnow_lung	0.1343283582089552	False	False	0.019624444921322107	1.0027145923577285
6	6	0.1423254143944853	0.1162406466523677	0.0207417440473511	0.08411300759327	0.1619292279723312	0.1343283582089552	200	287	43	external_krasnow_lung	0.1343283582089552	False	False	0.026084767742117584	1.25759761004518
0	0	0.5	0.5	0.0	0.5	0.5	1.0	200	2	43	immune	1.0	False	False	0.0	
0	1	0.5	0.5	0.0	0.5	0.5	1.0	200	2	43	immune	1.0	False	False	0.0	
0	2	0.5	0.5	0.0	0.5	0.5	1.0	200	2	43	immune	1.0	False	False	0.0	
0	3	0.5	0.5	0.0	0.5	0.5	1.0	200	2	43	immune	1.0	False	False	0.0	
0	4	0.5	0.5	0.0	0.5	0.5	1.0	200	2	43	immune	1.0	False	False	0.0	
0	5	0.5	0.5	0.0	0.5	0.5	1.0	200	2	43	immune	1.0	False	False	0.0	
0	6	0.5	0.5	0.0	0.5	0.5	1.0	200	2	43	immune	1.0	False	False	0.0	
0	7	0.5	0.5	0.0	0.5	0.5	1.0	200	2	43	immune	1.0	False	False	0.0	
1	0	0.5	0.5	0.0	0.5	0.5	1.0	200	2	43	immune	1.0	False	False	0.0	
1	1	0.5	0.5	0.0	0.5	0.5	1.0	200	2	43	immune	1.0	False	False	0.0	
4	4	0.122697090978024	0.0586180689104024	0.0085564005846554	0.0451106117549597	0.0773882939241701	0.0049751243781094	200	896	43	kidney	0.005527915975677111	True	True	0.0640790220676216	7.4890161386947645
10	4	0.1216591999097319	0.0595560980524473	0.0088137333839585	0.0466342881145927	0.0808654221037168	0.0049751243781094	200	896	43	kidney	0.005527915975677111	True	True	0.0621031018572846	7.046174322712758
3	1	0.1184352524657701	0.0601469670923419	0.0099089424411996	0.0470275745078328	0.0854928756012829	0.0049751243781094	200	896	43	kidney	0.005527915975677111	True	True	0.05828828537342819	5.882392164382345
7	4	0.1185948069234273	0.0585357561658547	0.0075786570214277	0.0480020461495384	0.0768085771566337	0.0049751243781094	200	896	43	kidney	0.005527915975677111	True	True	0.060059050757572605	7.924761681095106
2	4	0.1133503252333307	0.0579995649751517	0.0081209025683025	0.0457134393436591	0.0751983439443313	0.0049751243781094	200	896	43	kidney	0.005527915975677111	True	True	0.055350760258179005	6.81583848502555
7	2	0.1030765328439614	0.0588173952189725	0.0081744896144481	0.0465152932489253	0.0788011229436995	0.0049751243781094	200	896	43	kidney	0.005527915975677111	True	True	0.0442591376249889	5.414299817172996
3	0	0.1090223750555125	0.0593305211511781	0.008401198004814	0.0453777759951354	0.079664757387745	0.0049751243781094	200	896	43	kidney	0.005527915975677111	True	True	0.0496918539043344	5.9148533192361725
1	7	0.1018828408912957	0.0589619739367428	0.0086967953981073	0.0465990506480639	0.0812540956188532	0.0049751243781094	200	896	43	kidney	0.005527915975677111	True	True	0.042920866954552904	4.935250858482177
7	1	0.1131952413133057	0.0591073713287126	0.0083344939259852	0.046307078919313	0.0805171934553794	0.0049751243781094	200	896	43	kidney	0.005527915975677111	True	True	0.054087869984593105	6.489640578650912
3	4	0.1181579416246368	0.0591937565491678	0.0094550911304003	0.0466290515639296	0.0769553011508604	0.0099502487562189	200	896	43	kidney	0.0099502487562189	True	True	0.058964185075469	6.2362365695117985
4	4	0.0881949368322953	0.0468252265484192	0.004346091284368	0.0399718259463371	0.0568878479513265	0.0049751243781094	200	2870	43	lung	0.0071073205401562855	True	True	0.0413697102838761	9.518831422771646
0	6	0.0785923370764778	0.0472496339600885	0.004144888403795	0.0402612863380249	0.0566556060885666	0.0049751243781094	200	2870	43	lung	0.0071073205401562855	True	True	0.031342703116389294	7.561772492521721
5	7	0.0725943738107186	0.0475172221604553	0.0044020814798437	0.040539042757518	0.0593324322239451	0.0049751243781094	200	2870	43	lung	0.0071073205401562855	True	True	0.025077151650263294	5.696657766351404
4	3	0.0683995980551282	0.0467578835404918	0.0041056363178069	0.0399156794735666	0.0544518487550974	0.0049751243781094	200	2870	43	lung	0.0071073205401562855	True	True	0.021641714514636402	5.271220546440586
4	7	0.0663095198996326	0.0473877488978516	0.0041802265742212	0.0408872177911803	0.0557952677950616	0.0049751243781094	200	2870	43	lung	0.0071073205401562855	True	True	0.018921771001781003	4.526494118397455
6	0	0.0649900548609069	0.0470959261751833	0.0043043727411821	0.0392194076844855	0.0561303422929943	0.0049751243781094	200	2870	43	lung	0.0071073205401562855	True	True	0.017894128685723605	4.157197752536966
1	7	0.0641136311908711	0.0477802974549177	0.0040883532491221	0.0410731952458317	0.0571403166264552	0.0049751243781094	200	2870	43	lung	0.0071073205401562855	True	True	0.0163333337359534	3.9950886679033153
3	7	0.0739400525853491	0.0475443820763802	0.0043834382386155	0.0414177644651736	0.0557762929103683	0.0099502487562189	200	2870	43	lung	0.011055831951354334	True	True	0.026395670508968898	6.021681856137186
5	0	0.0673232041738613	0.047852585948681	0.0047607430248703	0.0409381777492463	0.0593361037985069	0.0099502487562189	200	2870	43	lung	0.011055831951354334	True	True	0.0194706182251803	4.08982760116752
6	3	0.0657974160794363	0.0470916696205249	0.0046850699629602	0.0404877178421937	0.0561982393000807	0.0149253731343283	200	2870	43	lung	0.0149253731343283	True	True	0.018705746458911404	3.99262905501894
