tissue_a	tissue_b	top_k	intersection	union	jaccard	expected_overlap	p_value	n_heads	overlap_heads
immune	external_krasnow_lung	10	2	18	0.111111	1.0416666666666667	0.27841204866693875	96	0:1,0:6
kidney	external_krasnow_lung	10	2	18	0.111111	1.0416666666666667	0.27841204866693875	96	2:4,3:4
kidney	lung	10	1	19	0.052632	1.0416666666666667	0.6860888573296852	96	4:4
lung	external_krasnow_lung	10	1	19	0.052632	1.0416666666666667	0.6860888573296852	96	0:6
lung	immune	10	1	19	0.052632	1.0416666666666667	0.6860888573296852	96	0:6
kidney	immune	10	0	20	0.0	1.0416666666666667	1.0	96	
