baseline	precision_mean	precision_std	precision_ci_low	precision_ci_high	recall_mean	recall_std	recall_ci_low	recall_ci_high	f1_mean	f1_std	f1_ci_low	f1_ci_high	aupr_mean	aupr_std	aupr_ci_low	aupr_ci_high	predicted_edges_mean	predicted_edges_std	predicted_edges_ci_low	predicted_edges_ci_high	true_edges	candidate_pairs	candidate_positives	candidate_positive_rate	evaluated_pairs	tissue
aggregate	0.0583524027459954				0.9444444444444444				0.1099137931034482				0.1141028026718948				874.0				54	896	51	0.0569196428571428	896	kidney
random_head	0.0583524027459954	1.3877787807814457e-17	0.0583524027459954	0.0583524027459954	0.9444444444444444	1.1102230246251563e-16	0.9444444444444444	0.9444444444444444	0.1099137931034482	2.7755575615628914e-17	0.1099137931034482	0.1099137931034482	0.0785939512868983	0.0167785859104738	0.0558484185707098	0.1185349740018059	874.0	0.0	874.0	874.0	54	896	51	0.0569196428571428	896	kidney
aggregate	0.05				0.5555555555555556				0.091743119266055				0.0547053248389825				1500.0				135	2870	133	0.0463414634146341	2870	lung
random_head	0.0503958333333333	0.0040876713068644	0.0415833333333333	0.0584166666666666	0.5599537037037038	0.0454185700762717	0.462037037037037	0.6490740740740741	0.0924694189602446	0.0075003143245219	0.0762996941896024	0.1071865443425076	0.0555183879106367	0.0075034147050899	0.0446369157255669	0.0734354230448627	1500.0	0.0	1500.0	1500.0	135	2870	133	0.0463414634146341	2870	lung
aggregate	1.0				1.0				1.0				0.5				2.0				2	2	2	1.0	2	immune
random_head	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.5	0.0	0.5	0.5	2.0	0.0	2.0	2.0	2	2	2	1.0	2	immune
aggregate	0.111913357400722				0.96875				0.2006472491909385				0.1319250813083726				277.0				32	287	31	0.1080139372822299	287	external_krasnow_lung
random_head	0.111913357400722	2.7755575615628914e-17	0.111913357400722	0.111913357400722	0.96875	0.0	0.96875	0.96875	0.2006472491909385	2.7755575615628914e-17	0.2006472491909385	0.2006472491909385	0.1301078503512091	0.0123955306413808	0.1102757174854616	0.1543734478270777	277.0	0.0	277.0	277.0	32	287	31	0.1080139372822299	287	external_krasnow_lung
