tissue	n_heads_tested	n_heads_p_lt_0_05	n_heads_q_lt_0_10	min_p_value	min_q_value	median_observed_aupr	median_perm_aupr	median_z_like
external_krasnow_lung	10	5	8	0.0248756218905472	0.08706467661691525	0.14926622780453325	0.1119505962882475	1.7506309918102079
immune	10	0	0	1.0	1.0	0.5	0.5	
kidney	10	10	10	0.0049751243781094	0.005527915975677111	0.11575413342898375	0.0590346726327277	6.362938574081355
lung	10	10	10	0.0049751243781094	0.0071073205401562855	0.06786140111449475	0.04731869142897005	4.89885733241902
