tissue_a	tissue_b	top_k	intersection	union	jaccard	expected_overlap	p_value	n_heads	overlap_heads
kidney	external_krasnow_lung	25	9	41	0.219512	6.510416666666667	0.14613749768667222	96	0:1,0:6,2:2,2:4,2:7,3:2,3:4,5:4,7:2
kidney	immune	25	9	41	0.219512	6.510416666666667	0.14613749768667222	96	0:1,0:5,0:6,1:4,1:7,2:2,2:4,2:7,3:0
immune	external_krasnow_lung	25	8	42	0.190476	6.510416666666667	0.2951668798301313	96	0:1,0:4,0:6,1:3,2:0,2:2,2:4,2:7
kidney	lung	25	7	43	0.162791	6.510416666666667	0.49387272268807675	96	0:6,1:7,3:4,4:4,5:3,6:7,7:4
lung	external_krasnow_lung	25	5	45	0.111111	6.510416666666667	0.8573668071937001	96	0:6,3:4,3:7,4:3,6:5
lung	immune	25	3	47	0.06383	6.510416666666667	0.9875288269324438	96	0:6,1:7,2:1
