family	perturbation_dataset	sources	n_true_pairs_manifest	n_pairs_scored	n_true_pairs_scored	n_random_controls_scored	n_unique_targets_manifest
immune_family_overlap	dixit_7_days	ETS1,EGR1	17	25	16	9	16
metabolic_family_overlap	adamson	CREB1,DDIT3	19	29	19	10	19
