layer	head	head_id	n_edges_all	n_edges_nonzero	nonzero_fraction	mean_edge_score_all	mean_edge_score_nonzero	mean_max_head_score_all	mean_max_head_score_nonzero	median_max_head_score_nonzero	zero_fraction_all
8	0	8:0	129737	26	0.0002004054356120459	0.007374033481844627	0.005093693930225835	4.736990899136328e-06	0.023637038010817298	0.0206451416015625	0.9997995945643879
0	3	0:3	21517	21517	1.0	0.011330448771409544	0.011330448771409544	0.4492098143067106	0.4492098143067106	0.393798828125	0.0
0	5	0:5	12181	12181	1.0	0.011650229331150523	0.011650229331150523	0.21859809935169905	0.21859809935169905	0.1746826171875	0.0
1	4	1:4	10172	10172	1.0	0.010093230662255039	0.010093230662255039	0.13670435656119084	0.13670435656119084	0.108154296875	0.0
1	3	1:3	8724	8724	1.0	0.010751733337416674	0.010751733337416674	0.12915052623164816	0.12915052623164816	0.11083984375	0.0
1	6	1:6	6791	6791	1.0	0.00954938440853978	0.00954938440853978	0.11786519869748754	0.11786519869748754	0.09075927734375	0.0
1	5	1:5	4653	4653	1.0	0.010383544496332327	0.010383544496332327	0.10487987416065275	0.10487987416065275	0.0931396484375	0.0
0	7	0:7	4650	4650	1.0	0.007691673317345545	0.007691673317345545	0.26613415278369484	0.26613415278369484	0.17822265625	0.0
0	1	0:1	3645	3645	1.0	0.008561977641064526	0.008561977641064526	0.11776847975714455	0.11776847975714455	0.08929443359375	0.0
0	6	0:6	3087	3087	1.0	0.00854241482699032	0.00854241482699032	0.10901330104078617	0.10901330104078617	0.07958984375	0.0
0	2	0:2	2929	2929	1.0	0.008374147700023302	0.008374147700023302	0.14425809822677277	0.14425809822677277	0.08563232421875	0.0
0	4	0:4	2921	2921	1.0	0.0105566227333232	0.0105566227333232	0.21396341595303722	0.21396341595303722	0.165283203125	0.0
2	7	2:7	2874	2874	1.0	0.008194750718511825	0.008194750718511825	0.06546014490660701	0.06546014490660701	0.0585784912109375	0.0
10	5	10:5	2085	2085	1.0	0.009211521572848666	0.009211521572848666	0.11625983832074964	0.11625983832074964	0.068359375	0.0
1	2	1:2	1905	1905	1.0	0.008609559986805777	0.008609559986805777	0.08264272040686686	0.08264272040686686	0.0660400390625	0.0
2	0	2:0	1540	1540	1.0	0.010118075951629567	0.010118075951629567	0.08505547275987513	0.08505547275987513	0.074737548828125	0.0
1	1	1:1	1537	1537	1.0	0.007722851947285817	0.007722851947285817	0.06625298603680821	0.06625298603680821	0.05474853515625	0.0
10	6	10:6	1354	1354	1.0	0.007515461615675312	0.007515461615675312	0.05557481623940253	0.05557481623940253	0.048126220703125	0.0
10	7	10:7	1308	1308	1.0	0.00814632575420234	0.00814632575420234	0.0789403682090456	0.0789403682090456	0.065032958984375	0.0
4	1	4:1	1291	1291	1.0	0.007797095026982442	0.007797095026982442	0.06310221393564522	0.06310221393564522	0.052978515625	0.0
8	7	8:7	1152	1152	1.0	0.008670531688520444	0.008670531688520444	0.06776816756637008	0.06776816756637008	0.061279296875	0.0
2	2	2:2	1127	1127	1.0	0.00732503440783242	0.00732503440783242	0.07250047766644022	0.07250047766644022	0.060577392578125	0.0
10	0	10:0	1115	1115	1.0	0.007244708065408103	0.007244708065408103	0.09594897985746871	0.09594897985746871	0.068359375	0.0
3	7	3:7	907	907	1.0	0.008026458145708184	0.008026458145708184	0.06215248822903029	0.06215248822903029	0.05328369140625	0.0
2	6	2:6	856	856	1.0	0.007366969097224858	0.007366969097224858	0.05883872694686937	0.05883872694686937	0.050750732421875	0.0
9	1	9:1	789	789	1.0	0.010998366651332558	0.010998366651332558	0.04875909944702715	0.04875909944702715	0.045379638671875	0.0
10	4	10:4	768	768	1.0	0.008761237898700782	0.008761237898700782	0.09559394253624809	0.09559394253624809	0.0758056640625	0.0
0	0	0:0	708	708	1.0	0.007212620210770659	0.007212620210770659	0.06732591711644174	0.06732591711644174	0.0517578125	0.0
11	5	11:5	686	686	1.0	0.0070285503220369645	0.0070285503220369645	0.08010769075740298	0.08010769075740298	0.0521392822265625	0.0
9	0	9:0	550	550	1.0	0.0063539043678478265	0.0063539043678478265	0.03914955139160156	0.03914955139160156	0.0365142822265625	0.0
8	4	8:4	513	513	1.0	0.007833928570406651	0.007833928570406651	0.059973272431431225	0.059973272431431225	0.049835205078125	0.0
8	1	8:1	490	490	1.0	0.005076759862935211	0.005076759862935211	0.03970822704081633	0.03970822704081633	0.0329437255859375	0.0
10	2	10:2	419	419	1.0	0.006903551624660463	0.006903551624660463	0.0451130741820415	0.0451130741820415	0.041046142578125	0.0
1	0	1:0	408	408	1.0	0.008004315504180279	0.008004315504180279	0.09538736530378752	0.09538736530378752	0.07470703125	0.0
3	6	3:6	373	373	1.0	0.009203197483613432	0.009203197483613432	0.06732861545523297	0.06732861545523297	0.0633544921875	0.0
7	4	7:4	238	238	1.0	0.00779845669568206	0.00779845669568206	0.04265081581949186	0.04265081581949186	0.03399658203125	0.0
8	5	8:5	231	231	1.0	0.007669564391062204	0.007669564391062204	0.0549575893737881	0.0549575893737881	0.045928955078125	0.0
6	1	6:1	226	226	1.0	0.008787382584375125	0.008787382584375125	0.057834130861635295	0.057834130861635295	0.0518035888671875	0.0
2	4	2:4	223	223	1.0	0.0064607166667066005	0.0064607166667066005	0.04237618895389574	0.04237618895389574	0.0394287109375	0.0
4	0	4:0	222	222	1.0	0.009777977944046834	0.009777977944046834	0.06455042154581339	0.06455042154581339	0.06365966796875	0.0
4	5	4:5	221	221	1.0	0.007858649385056295	0.007858649385056295	0.05381243261276866	0.05381243261276866	0.04681396484375	0.0
9	6	9:6	204	204	1.0	0.006629405260996032	0.006629405260996032	0.03168920130511514	0.03168920130511514	0.0316314697265625	0.0
1	7	1:7	181	181	1.0	0.006936800566246312	0.006936800566246312	0.059211478048925244	0.059211478048925244	0.049163818359375	0.0
11	7	11:7	169	169	1.0	0.0056228418750539685	0.0056228418750539685	0.034665023081401396	0.034665023081401396	0.029266357421875	0.0
3	1	3:1	161	161	1.0	0.006994977207009787	0.006994977207009787	0.039527362325917116	0.039527362325917116	0.03204345703125	0.0
6	4	6:4	144	144	1.0	0.009667638791024856	0.009667638791024856	0.0960757928340313	0.0960757928340313	0.091522216796875	0.0
4	6	4:6	141	141	1.0	0.006841695264100658	0.006841695264100658	0.0432808111745415	0.0432808111745415	0.0362548828125	0.0
7	1	7:1	130	130	1.0	0.007177421507671181	0.007177421507671181	0.05152615278195112	0.05152615278195112	0.037689208984375	0.0
6	7	6:7	127	127	1.0	0.008152711423348561	0.008152711423348561	0.06456071748508244	0.06456071748508244	0.05731201171875	0.0
6	6	6:6	113	113	1.0	0.008802029095826334	0.008802029095826334	0.036263052341157356	0.036263052341157356	0.0256195068359375	0.0
11	0	11:0	111	111	1.0	0.006531336724439266	0.006531336724439266	0.02957242673581785	0.02957242673581785	0.025848388671875	0.0
7	5	7:5	92	92	1.0	0.005805927903249651	0.005805927903249651	0.02861163927161175	0.02861163927161175	0.02799224853515625	0.0
5	7	5:7	89	89	1.0	0.005893193344909941	0.005893193344909941	0.03151814321453651	0.03151814321453651	0.0258331298828125	0.0
5	5	5:5	82	82	1.0	0.007502324737199508	0.007502324737199508	0.04295711982540968	0.04295711982540968	0.03839111328125	0.0
2	5	2:5	81	81	1.0	0.009943698513716286	0.009943698513716286	0.07252361156322339	0.07252361156322339	0.0682373046875	0.0
7	7	7:7	79	79	1.0	0.005866491833489482	0.005866491833489482	0.03343970383269877	0.03343970383269877	0.025482177734375	0.0
9	7	9:7	69	69	1.0	0.005936423339093602	0.005936423339093602	0.03735500833262568	0.03735500833262568	0.0283966064453125	0.0
6	0	6:0	66	66	1.0	0.010052982885941468	0.010052982885941468	0.08389231877696234	0.08389231877696234	0.08660888671875	0.0
5	1	5:1	66	66	1.0	0.006017141340469718	0.006017141340469718	0.03476252700343276	0.03476252700343276	0.02996826171875	0.0
11	2	11:2	64	64	1.0	0.00531453133929361	0.00531453133929361	0.015748262405395494	0.015748262405395494	0.01488876342773435	0.0
7	0	7:0	61	61	1.0	0.0067141309489948476	0.0067141309489948476	0.04700807665215164	0.04700807665215164	0.03778076171875	0.0
9	4	9:4	58	58	1.0	0.005403126759893458	0.005403126759893458	0.027244567871093747	0.027244567871093747	0.02318572998046875	0.0
4	2	4:2	58	58	1.0	0.0074851415756621385	0.0074851415756621385	0.04452185795224946	0.04452185795224946	0.0387115478515625	0.0
7	6	7:6	52	52	1.0	0.008670513858445512	0.008670513858445512	0.04890919220753205	0.04890919220753205	0.039764404296875	0.0
9	5	9:5	50	50	1.0	0.008973596994756985	0.008973596994756985	0.04139869689941406	0.04139869689941406	0.029022216796875	0.0
2	1	2:1	48	48	1.0	0.006781680824739511	0.006781680824739511	0.04189300537109375	0.04189300537109375	0.0382843017578125	0.0
11	6	11:6	45	45	1.0	0.005445769955231583	0.005445769955231583	0.015415212843153192	0.015415212843153192	0.01300048828125	0.0
11	4	11:4	36	36	1.0	0.005481021595187433	0.005481021595187433	0.01816897922092013	0.01816897922092013	0.01696014404296875	0.0
4	4	4:4	35	35	1.0	0.008400520674352086	0.008400520674352086	0.07109470912388392	0.07109470912388392	0.06414794921875	0.0
11	3	11:3	34	34	1.0	0.0056548211746392085	0.0056548211746392085	0.031864951638614414	0.031864951638614414	0.02272796630859375	0.0
5	0	5:0	33	33	1.0	0.007033423880453765	0.007033423880453765	0.054115064216382576	0.054115064216382576	0.0433349609375	0.0
6	3	6:3	33	33	1.0	0.004586739037562155	0.004586739037562155	0.021169373483368836	0.021169373483368836	0.019500732421875	0.0
5	3	5:3	32	32	1.0	0.006703944449933809	0.006703944449933809	0.06424172719319661	0.06424172719319661	0.0468292236328125	0.0
5	4	5:4	30	30	1.0	0.005293831705219166	0.005293831705219166	0.029153188069661454	0.029153188069661454	0.02364349365234375	0.0
5	2	5:2	29	29	1.0	0.005128367153670707	0.005128367153670707	0.022084992507408405	0.022084992507408405	0.018707275390625	0.0
9	2	9:2	23	23	1.0	0.004638650980980447	0.004638650980980447	0.019894143809442915	0.019894143809442915	0.0155181884765625	0.0
9	3	9:3	23	23	1.0	0.004861868391542296	0.004861868391542296	0.018597810164741838	0.018597810164741838	0.017791748046875	0.0
8	3	8:3	21	21	1.0	0.005350314867904458	0.005350314867904458	0.02375502813430059	0.02375502813430059	0.0195465087890625	0.0
3	0	3:0	17	17	1.0	0.006417773965307841	0.006417773965307841	0.03229881735409007	0.03229881735409007	0.03363037109375	0.0
8	6	8:6	17	17	1.0	0.004948199797077294	0.004948199797077294	0.02257784675149356	0.02257784675149356	0.0220489501953125	0.0
