layer	head	head_id	n_thresholds_tested	n_thresholds_significant	min_q_value	max_odds_ratio	mean_odds_ratio	mean_high_conf_fraction	max_high_conf_fraction
0	7	0:7	4	4	0.003817361089536676	2.9321334833145856	2.37325399040005	0.2204861111111111	0.3055555555555556
1	5	1:5	4	4	0.0051788751451875515	9.318087318087318	7.080226845177073	0.4605263157894737	0.5789473684210527
5	0	5:0	4	0	0.34249189293870436	5.832467532467533	3.0130479504910324	0.25	0.3076923076923077
4	7	4:7	4	0	0.46928941128565355	3.5971030042918457	2.210499331805328	0.25	0.38461538461538464
0	3	0:3	4	0	0.6165106059067036	2.884990253411306	2.1426328955469622	0.21774193548387097	0.3225806451612903
1	1	1:1	4	0	0.6165106059067036	2.1574193548387095	1.4729305219139797	0.18478260869565216	0.34782608695652173
0	6	0:6	4	0	0.6165106059067036	1.5710169491525423	1.4619852298591685	0.1716867469879518	0.27710843373493976
4	3	4:3	4	0	0.6379703091179801	3.324340175953079	2.7889146011623422	0.26666666666666666	0.3333333333333333
1	7	1:7	4	0	0.6520099428023151	1.7698996655518395	1.4009229311759175	0.16911764705882354	0.2647058823529412
1	3	1:3	4	0	0.6791756340036533	2.2888888888888888	1.1313276535321264	0.1607142857142857	0.35714285714285715
1	2	1:2	4	0	0.7349546429056004	2.021505376344086	1.7788297089042169	0.19318181818181818	0.2727272727272727
0	1	0:1	4	0	0.7349546429056004	2.0348583877995643	1.6427639077676905	0.17424242424242425	0.21212121212121213
11	7	11:7	4	0	0.7349546429056004	1.9833427442123095	1.5046716763122072	0.16964285714285715	0.25
3	1	3:1	4	0	0.7349546429056004	2.269230769230769	1.1722975605954329	0.15000000000000002	0.2
3	2	3:2	4	0	0.7664069262359288	2.011182108626198	0.7631933571746327	0.11666666666666667	0.3333333333333333
0	4	0:4	4	0	0.7870880178970244	1.503125	1.3099982182319558	0.15217391304347827	0.2318840579710145
8	0	8:0	4	0	0.7930515595417469	1.5336405529953918	1.4696027968593461	0.1724137931034483	0.27586206896551724
2	2	2:2	4	0	0.7930515595417469	1.723901098901099	0.9305070673854205	0.1375	0.3
2	3	2:3	4	0	0.8471080861197725	1.8949367088607596	1.388841446075677	0.1590909090909091	0.2727272727272727
5	5	5:5	4	0	0.8471080861197725	1.4568616097278517	1.0664443108727566	0.15	0.26666666666666666
1	4	1:4	4	0	0.8471080861197725	1.1745576279292205	1.0561246436448022	0.13679245283018868	0.22641509433962265
11	6	11:6	4	0	0.8471080861197725	1.3343949044585988	0.6846772040623617	0.109375	0.25
2	5	2:5	4	0	0.9128540957171255	1.422340425531915	0.7647999948700192	0.11666666666666667	0.2
8	7	8:7	4	0	1.0	2.2473604826546003	1.108703481239023	0.10526315789473684	0.10526315789473684
0	5	0:5	4	0	1.0	1.2917038358608386	0.9844189608985349	0.11904761904761904	0.19047619047619047
0	0	0:0	4	0	1.0	1.1842532467532467	0.8296483022108858	0.09803921568627451	0.13725490196078433
11	2	11:2	4	0	1.0	1.2590717299578058	0.8076863742707983	0.09375	0.125
11	3	11:3	4	0	1.0	1.3543956043956045	0.707312979896781	0.075	0.1
9	5	9:5	4	0	1.0	1.0305931321540063	0.7072031962295195	0.10256410256410256	0.20512820512820512
0	2	0:2	4	0	1.0	0.7867109634551495	0.6465677365519885	0.09068627450980392	0.16666666666666666
7	0	7:0	4	0	1.0	0.9976038338658147	0.6364502415778579	0.1	0.2
10	7	10:7	4	0	1.0	0.7931182795698924	0.5294913122349716	0.07142857142857142	0.10204081632653061
10	3	10:3	4	0	1.0	0.5897435897435898	0.504074085953606	0.07142857142857142	0.11904761904761904
10	1	10:1	4	0	1.0	0.8860759493670886	0.36276371308016875	0.06818181818181818	0.18181818181818182
10	4	10:4	4	0	1.0	0.6830450589401784	0.2579567096502988	0.051470588235294115	0.14705882352941177
1	6	1:6	4	0	1.0	0.5359160613397902	0.2280115650636998	0.043478260869565216	0.08695652173913043
9	3	9:3	4	0	1.0	0.38033794162826423	0.204037944044069	0.03676470588235294	0.08823529411764706
9	4	9:4	4	0	1.0	0.395253164556962	0.16552014265621862	0.03409090909090909	0.09090909090909091
11	1	11:1	4	0	1.0	0.26139240506329114	0.11019633864162243	0.0234375	0.0625
7	2	7:2	4	0	1.0	0.3304416403785489	0.08261041009463722	0.019230769230769232	0.07692307692307693
10	0	10:0	4	0	1.0	0.0	0.0	0.0	0.0
11	0	11:0	4	0	1.0	0.0	0.0	0.0	0.0
