source	target	score
SOX6	OR10K1	0.12149107456207275
MAL	RP11-15E1.5	0.11841312795877457
SOX6	SPINK5	0.11581673473119736
SOX6	PCAT5	0.11355342715978622
SOX6	SP9	0.09873989969491959
SOX6	RP11-478H12.2	0.09809304028749466
SOX6	GABRA2	0.096593476831913
PBX1	OSBP2	0.09120718389749527
PBX1	C2orf88	0.09060927480459213
MXI1	XGY1	0.09008250385522842
SOX6	AC005730.2	0.08784648776054382
MAL	PDCL3P2	0.08554160594940186
MAL	RP11-67L17.1	0.08153914660215378
MAL	IGKV3-11	0.07523610442876816
NCOA4	CTD-2542L18.1	0.07491668313741684
NCOA4	BTBD10P2	0.07389972358942032
MAL	NATD1	0.07348983734846115
MAL	CTD-2542L18.1	0.07148798555135727
MAL	KRT1	0.07141552120447159
MXI1	RP11-162A12.3	0.07130402326583862
LYL1	LCN1	0.06973696500062943
MAL	SLC38A5	0.06955593079328537
PBX1	IGHG3	0.06833776831626892
MAL	CXCL1	0.06688422709703445
NCOA4	TCAM1P	0.06587300449609756
MAL	CTA-392E5.1	0.06420603394508362
MAL	BTBD10P2	0.06374188512563705
MAL	RBM38	0.059469957100717646
NCOA4	OR52N2	0.05904720723628998
SOX6	KDM7A-DT	0.05778643861413002
MAL	IL7R	0.05759091938243193
NCOA4	TRAV25	0.05750560760498047
MXI1	ACSL6	0.05682451725006103
NCOA4	AC137932.5	0.056524306535720825
LYL1	ABALON	0.055979762226343155
MAL	PIM1	0.05536132109792609
MAL	TSPAN5	0.055179964412342415
NFIX	JCHAIN	0.05507786199450493
MAL	TMEM86B	0.05488356575369835
MXI1	SERPINC1	0.054426729679107666
MAL	R3HDM4	0.054320777455965676
MAL	ACSL6	0.05374947190284729
MXI1	IGKV4-1	0.05359963700175285
MAL	OR52N2	0.05344592407345772
NFIX	IGLV4-69	0.053441841155290604
NEUROD1	RP11-217O12.1	0.052966874092817307
MXI1	RP11-425D17.1	0.052818771451711655
NFIX	PSMC1P7	0.05233411490917206
MAL	DPCD	0.05205720663070679
MAL	MTCO1P12	0.052037409373692105
LYL1	CCL22	0.05202506482601166
NCOA4	RP11-567M21.3	0.051941245794296265
MAL	CCL4	0.051796981266566684
MAL	RP11-285C1.2	0.051237959414720535
LYL1	RP11-192M23.1	0.05114232376217842
SOX6	IL7R	0.05038798451423645
